Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
1;18/05/2023;15:30;ENGLAND;PREMIER LEAGUE - ROUND 25;Newcastle;Brighton;29;43;30;43;0,6744;0,6977;1,3721
2;18/05/2023;16:00;EUROPE;EUROPA LEAGUE - PLAY OFFS - SEMI-FINALS;Bayer Leverkusen;AS Roma;30;43;28;43;0,6977;0,6512;1,3489
3;18/05/2023;16:00;EUROPE;EUROPA LEAGUE - PLAY OFFS - SEMI-FINALS;Sevilla;Juventus;27;43;27;43;0,6279;0,6279;1,2558
4;18/05/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;AZ Alkmaar;West Ham;36;43;37;43;0,8372;0,8605;1,6977
5;18/05/2023;16:00;EUROPE;EUROPA CONFERENCE LEAGUE - PLAY OFFS - SEMI-FINALS;Basel;Fiorentina;36;43;37;43;0,8372;0,8605;1,6977
6;18/05/2023;16:00;AFRICA;AFRICA CUP OF NATIONS U17 - PLAY OFFS - 3RD PLACE;Burkina Faso U17;Mali U17;36;43;37;43;0,8372;0,8605;1,6977
7;18/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 23;El Bayadh;Magra;36;43;37;43;0,8372;0,8605;1,6977
8;18/05/2023;14:00;ALGERIA;LIGUE 1 - ROUND 23;ASO Chlef;Biskra;23;43;28;43;0,5349;0,6512;1,1861
9;18/05/2023;14:00;ALGERIA;LIGUE 1 - ROUND 23;Kabylie;Oran;21;43;24;43;0,4884;0,5581;1,0465
10;18/05/2023;21:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Arsenal Sarandi;Independiente;29;43;28;43;0,6744;0,6512;1,3256
11;18/05/2023;01:00;AUSTRALIA & OCEANIA;OFC CHAMPIONS LEAGUE - ROUND 2;Ifira Black Bird (Van);Pirae (Tah);1;3;28;43;0,3333;0,6512;0,9845
12;18/05/2023;13:00;BAHRAIN;PREMIER LEAGUE - ROUND 22;Al Khalidiyah;Bahrain SC;1;3;28;43;0,3333;0,6512;0,9845
13;18/05/2023;13:00;BAHRAIN;PREMIER LEAGUE - ROUND 22;East Riffa;Al-Hala;1;3;28;43;0,3333;0,6512;0,9845
14;18/05/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION PLAY OFFS - PLAY OFFS - SEMI-FINALS;Aalst;Hades;1;3;28;43;0,3333;0,6512;0,9845
15;18/05/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION PLAY OFFS - PLAY OFFS - SEMI-FINALS;Belisia Bilzen;Oostkamp;1;3;28;43;0,3333;0,6512;0,9845
16;18/05/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION PLAY OFFS - PLAY OFFS - SEMI-FINALS;City Pirates;Cercle Brugge KSV 2;1;3;28;43;0,3333;0,6512;0,9845
17;18/05/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION PLAY OFFS - PLAY OFFS - SEMI-FINALS;Petegem;Sp. Hasselt;1;3;28;43;0,3333;0,6512;0,9845
18;18/05/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION PLAY OFFS - RELEGATION - FINAL;Wetteren;K. FC Turnhout;1;3;28;43;0,3333;0,6512;0,9845
19;18/05/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION PLAY OFFS - FINAL STAGE - FINAL;Lokeren-Temse;Cappellen;1;3;28;43;0,3333;0,6512;0,9845
20;18/05/2023;11:00;CAMEROON;ELITE ONE - CHAMPIONSHIP GROUP - ROUND 2;Canon Yaounde;Gazelle;25;43;28;43;0,5814;0,6512;1,2326
21;18/05/2023;13:30;CAMEROON;ELITE ONE - CHAMPIONSHIP GROUP - ROUND 2;Bamboutos FC;Cotonsport;25;43;28;43;0,5814;0,6512;1,2326
22;18/05/2023;21:00;CHILE;PRIMERA DIVISION - ROUND 15;Colo Colo;Curico Unido;28;43;31;43;0,6512;0,7209;1,3721
23;18/05/2023;04:30;CHINA;FA CUP - 1/64-FINALS;Fuzhou Changle Jingangtui;Beijing Technology;28;43;31;43;0,6512;0,7209;1,3721
24;18/05/2023;04:30;CHINA;FA CUP - 1/64-FINALS;Yiwu Jinxiu;Zibo Qisheng;28;43;31;43;0,6512;0,7209;1,3721
25;18/05/2023;07:00;CHINA;FA CUP - 1/64-FINALS;Yili Jiucheng;Shaoxing Shangyu;28;43;31;43;0,6512;0,7209;1,3721
26;18/05/2023;08:30;CHINA;FA CUP - 1/64-FINALS;Rizhao Yuqi;Chongqing Tonglianglong;28;43;31;43;0,6512;0,7209;1,3721
27;18/05/2023;23:00;COSTA RICA;PRIMERA DIVISION - CLAUSURA - PLAY OFFS - FINAL;Alajuelense;Saprissa;32;43;32;43;0,7442;0,7442;1,4884
28;18/05/2023;12:00;CZECH REPUBLIC;DIVISION 2 - ROUND 28;Sparta Prague B;Dukla Prague;32;43;32;43;0,7442;0,7442;1,4884
29;18/05/2023;09:00;DENMARK;1ST DIVISION - PROMOTION GROUP - ROUND 30;Hvidovre IF;Sonderjyske;31;43;30;43;0,7209;0,6977;1,4186
30;18/05/2023;12:00;DENMARK;LANDSPOKAL CUP - FINAL;Aalborg;FC Copenhagen;31;43;30;43;0,7209;0,6977;1,4186
31;18/05/2023;14:00;EGYPT;PREMIER LEAGUE - ROUND 28;Zamalek;Aswan SC;30;43;30;43;0,6977;0,6977;1,3954
32;18/05/2023;18:30;EL SALVADOR;PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS;Jocoro;Aguila;26;43;26;43;0,6047;0,6047;1,2094
33;18/05/2023;22:45;EL SALVADOR;PRIMERA DIVISION - CLAUSURA - PLAY OFFS - QUARTER-FINALS;Metapan;11 Deportivo;29;43;21;43;0,6744;0,4884;1,1628
34;18/05/2023;16:00;ENGLAND;LEAGUE ONE - PLAY OFFS - SEMI-FINALS;Sheffield Wed;Peterborough;34;43;31;43;0,7907;0,7209;1,5116
35;18/05/2023;10:00;EUROPE;EURO U17 - ROUND 1;Switzerland U17;Netherlands U17;34;43;31;43;0,7907;0,7209;1,5116
36;18/05/2023;12:00;EUROPE;EURO U17 - ROUND 1;Serbia U17;Slovenia U17;34;43;31;43;0,7907;0,7209;1,5116
37;18/05/2023;15:00;EUROPE;EURO U17 - ROUND 1;Croatia U17;England U17;26;43;31;43;0,6047;0,7209;1,3256
38;18/05/2023;15:00;EUROPE;EURO U17 - ROUND 1;Italy U17;Spain U17;35;43;31;43;0,814;0,7209;1,5349
39;18/05/2023;11:00;FINLAND;SUOMEN CUP - 1/32-FINALS;Turku II;PIF Pargas;5;5;31;43;1,0;0,7209;1,7209
40;18/05/2023;13:30;FINLAND;SUOMEN CUP - 1/32-FINALS;Kuopion Elo;PEPO;5;5;31;43;1,0;0,7209;1,7209
41;18/05/2023;13:00;GAMBIA;GFA LEAGUE - ROUND 23;Hawks;WAA Banjul;5;5;31;43;1,0;0,7209;1,7209
42;18/05/2023;08:00;GERMANY;JUNIOREN BUNDESLIGA PLAY OFFS - LOSERS STAGE - ROUND 3;Preussen Munster U19;Bonner U19;34;43;35;43;0,7907;0,814;1,6047
43;18/05/2023;06:00;GERMANY;JUNIOREN BUNDESLIGA PLAY OFFS - WINNERS STAGE - ROUND 2;Dortmund U19;Dusseldorf U19;28;43;30;43;0,6512;0,6977;1,3489
44;18/05/2023;22:00;GUATEMALA;LIGA NACIONAL - CLAUSURA - PLAY OFFS - SEMI-FINALS;Antigua;Comunicaciones;27;43;33;43;0,6279;0,7674;1,3953
45;18/05/2023;12:00;GUINEA;LIGUE 1 - ROUND 21;SOAR;Hafia;27;43;33;43;0,6279;0,7674;1,3953
46;18/05/2023;12:00;GUINEA;LIGUE 1 - ROUND 21;Wakriya;Milo FC;27;43;33;43;0,6279;0,7674;1,3953
47;18/05/2023;11:00;ICELAND;ICELANDIC CUP - 1/8-FINALS;Stjarnan;Keflavik;31;43;35;43;0,7209;0,814;1,5349
48;18/05/2023;11:00;ICELAND;ICELANDIC CUP - 1/8-FINALS;Valur;Grindavik;31;43;35;43;0,7209;0,814;1,5349
49;18/05/2023;13:00;ICELAND;ICELANDIC CUP - 1/8-FINALS;Throttur;Breidablik;38;43;35;43;0,8837;0,814;1,6977
50;18/05/2023;14:00;ICELAND;ICELANDIC CUP - 1/8-FINALS;Kopavogur;KA Akureyri;30;43;35;43;0,6977;0,814;1,5117
51;18/05/2023;14:00;ICELAND;ICELANDIC CUP - 1/8-FINALS;Vikingur Reykjavik;Grotta;30;43;35;43;0,6977;0,814;1,5117
52;18/05/2023;16:45;ICELAND;ICELANDIC CUP - 1/8-FINALS;Fylkir;KR Reykjavik;35;43;31;43;0,814;0,7209;1,5349
53;18/05/2023;11:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 30;Esteghlal F.C.;Tractor;17;43;31;43;0,3953;0,7209;1,1162
54;18/05/2023;11:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 30;Foolad;Aluminium Arak;16;43;19;43;0,3721;0,4419;0,814
55;18/05/2023;11:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 30;Gol Gohar;Sanat Naft;29;43;19;43;0,6744;0,4419;1,1163
56;18/05/2023;11:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 30;Mes Kerman;Sepahan;24;43;25;43;0,5581;0,5814;1,1395
57;18/05/2023;11:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 30;Naft M.I.S;Malavan;24;43;25;43;0,5581;0,5814;1,1395
58;18/05/2023;11:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 30;Nassaji Mazandaran;Persepolis;24;43;25;43;0,5581;0,5814;1,1395
59;18/05/2023;11:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 30;Paykan;Mes Rafsanjan;17;43;21;43;0,3953;0,4884;0,8837
60;18/05/2023;11:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 30;Zob Ahan;Havadar SC;20;43;21;43;0,4651;0,4884;0,9535
61;18/05/2023;10:30;IRAQ;SUPER LEAGUE - ROUND 29;Duhok;Al Sinaah;20;43;21;43;0,4651;0,4884;0,9535
62;18/05/2023;13:00;IRAQ;SUPER LEAGUE - ROUND 29;Al Wasat;Al Talaba;25;43;27;43;0,5814;0,6279;1,2093
63;18/05/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - 1/8-FINALS;Ancona;Lecco;31;43;27;43;0,7209;0,6279;1,3488
64;18/05/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - 1/8-FINALS;Audace Cerignola;Foggia;27;43;27;43;0,6279;0,6279;1,2558
65;18/05/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - 1/8-FINALS;Gubbio;Entella;27;43;27;43;0,6279;0,6279;1,2558
66;18/05/2023;15:30;ITALY;SERIE C - PROMOTION - PLAY OFFS - 1/8-FINALS;Pro Sesto;L.R. Vicenza;29;43;31;43;0,6744;0,7209;1,3953
