Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;19/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 36;Lyon;Monaco;32;43;1,3953;31;42;1,4762;0,7442;0,7381;1,4823;0,5493
2;19/05/2023;15:30;GERMANY;BUNDESLIGA - ROUND 33;Freiburg;Wolfsburg;25;40;1,275;33;43;1,6977;0,625;0,7674;1,3924;0,4796
3;19/05/2023;15:45;ITALY;SERIE A - ROUND 36;Sassuolo;Monza;32;43;1,3488;33;43;1,2326;0,7442;0,7674;1,5116;0,5711
4;19/05/2023;16:00;SPAIN;LALIGA - ROUND 35;Cadiz CF;Valladolid;25;43;0,9535;28;43;1,1628;0,5814;0,6512;1,2326;0,3786
5;19/05/2023;16:00;AFRICA;CAF CHAMPIONS LEAGUE - PLAY OFFS - SEMI-FINALS;Al Ahly;Esperance Tunis;29;42;1,1429;28;43;1,093;0,6905;0,6512;1,3417;0,4497
6;19/05/2023;18:00;AFRICA;AFRICA CUP OF NATIONS U17 - PLAY OFFS - FINAL;Senegal U17;Morocco U17;13;19;0,9474;21;32;0,8438;0,6842;0,6562;1,3404;0,449
7;19/05/2023;10:30;ANDORRA;PRIMERA DIVISIÓ - ROUND 28;Penya;FC Santa Coloma;29;42;1,381;30;42;1,2143;0,6905;0,7143;1,4048;0,4932
8;19/05/2023;15:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Godoy Cruz;Gimnasia L.P.;31;43;1,1163;25;43;0,7442;0,7209;0,5814;1,3023;0,4191
9;19/05/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Central Cordoba;Union de Santa Fe;25;43;0,8372;25;43;0,907;0,5814;0,5814;1,1628;0,338
10;19/05/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Estudiantes L.P.;Banfield;25;43;0,9302;30;43;1,2093;0,5814;0,6977;1,2791;0,4056
