Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
1;16/05/2023;16:00;EUROPE;CHAMPIONS LEAGUE - PLAY OFFS - SEMI-FINALS;Inter;AC Milan;26;43;32;43;0,6047;0,7442;1,3489
2;16/05/2023;20:00;ARGENTINA;COPA ARGENTINA - 1/32-FINALS;Atl. Tucuman;Estudiantes Rio Cuarto;30;43;26;43;0,6977;0,6047;1,3024
3;16/05/2023;22:00;AUSTRALIA & OCEANIA;OFC CHAMPIONS LEAGUE - ROUND 2;Solomon Warriors (Sol);Soaga (Sam);30;43;26;43;0,6977;0,6047;1,3024
4;16/05/2023;21:00;BRAZIL;COPA DO BRASIL - 1/8-FINALS;Fluminense;Flamengo RJ;35;43;30;43;0,814;0,6977;1,5117
5;16/05/2023;15:30;EGYPT;PREMIER LEAGUE - ROUND 28;El Gaish;Pharco;27;43;25;43;0,6279;0,5814;1,2093
6;16/05/2023;16:00;ENGLAND;CHAMPIONSHIP - PLAY OFFS - SEMI-FINALS;Luton;Sunderland;26;43;27;43;0,6047;0,6279;1,2326
7;16/05/2023;14:15;FINLAND;SUOMEN CUP - 1/32-FINALS;HPS;Atlantis;26;43;27;43;0,6047;0,6279;1,2326
8;16/05/2023;13:00;GUINEA;LIGUE 1 - ROUND 20;Horoya;Flamme Olympique;26;43;27;43;0,6047;0,6279;1,2326
9;16/05/2023;15:00;ICELAND;ICELANDIC CUP - 1/8-FINALS;Thor Akureyri;Leiknir;31;43;36;43;0,7209;0,8372;1,5581
10;16/05/2023;16:15;ICELAND;URVALSDEILD WOMEN - ROUND 4;Hafnarfjordur W;Keflavik W;31;43;36;43;0,7209;0,8372;1,5581
11;16/05/2023;16:15;ICELAND;URVALSDEILD WOMEN - ROUND 4;Selfoss W;Tindastoll W;33;43;22;27;0,7674;0,8148;1,5822
12;16/05/2023;16:15;ICELAND;URVALSDEILD WOMEN - ROUND 4;Stjarnan W;Valur W;34;43;31;43;0,7907;0,7209;1,5116
13;16/05/2023;23:00;MONGOLIA;PREMIER LEAGUE - ROUND 21;FC Ulaanbaatar;Khovd;34;43;31;43;0,7907;0,7209;1,5116
14;16/05/2023;15:30;NETHERLANDS;TWEEDE DIVISIE - ROUND 31;Jong Volendam;IJsselmeervogels;33;43;34;43;0,7674;0,7907;1,5581
15;16/05/2023;19:00;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 18;Guairena FC;Libertad Asuncion;29;43;28;43;0,6744;0,6512;1,3256
16;16/05/2023;21:30;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 18;Olimpia Asuncion;General Caballero JLM;36;43;31;43;0,8372;0,7209;1,5581
17;16/05/2023;17:30;PERU;LIGA 1 - APERTURA - ROUND 2;AD Cantolao;Sport Boys;28;43;32;43;0,6512;0,7442;1,3954
18;16/05/2023;15:30;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 27;Al Taee;Al-Nassr;34;43;33;43;0,7907;0,7674;1,5581
19;16/05/2023;15:30;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 27;Al-Hilal;Al-Ittihad FC;32;43;28;43;0,7442;0,6512;1,3954
20;16/05/2023;14:35;SAUDI ARABIA;DIVISION 1 - ROUND 32;Al Riyadh;Al Orubah;32;43;28;43;0,7442;0,6512;1,3954
21;16/05/2023;15:35;SCOTLAND;LEAGUE ONE - RELEGATION - FINAL;Annan;Clyde;33;43;29;43;0,7674;0,6744;1,4418
22;16/05/2023;09:00;SEYCHELLES;FIRST DIVISION LEAGUE - RELEGATION GROUP;Santos;Lightstars;33;43;29;43;0,7674;0,6744;1,4418
23;16/05/2023;11:00;SEYCHELLES;FIRST DIVISION LEAGUE - RELEGATION GROUP;Bel Air;LMS;33;43;29;43;0,7674;0,6744;1,4418
24;16/05/2023;14:30;SOUTH AFRICA;PREMIER LEAGUE - ROUND 30;Mamelodi Sundowns;Maritzburg Utd;32;43;25;43;0,7442;0,5814;1,3256
25;16/05/2023;18:00;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 2;Defence Force;La Horquetta;32;43;25;43;0,7442;0,5814;1,3256
26;16/05/2023;20:15;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 15;Police;Central FC;32;43;25;43;0,7442;0,5814;1,3256
27;16/05/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;Montenegro U18;Switzerland U18;15;20;23;36;0,75;0,6389;1,3889
28;16/05/2023;15:00;WORLD;FRIENDLY INTERNATIONAL;Morocco U20;Burkina Faso U20;15;20;23;36;0,75;0,6389;1,3889
29;16/05/2023;16:00;WORLD;FRIENDLY INTERNATIONAL;Colombia U20;Nigeria U20;29;43;23;36;0,6744;0,6389;1,3133
30;16/05/2023;13:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Cameroon U20 W;Japan U19 W;1;1;23;36;1,0;0,6389;1,6389
