Nº;ID;Date;Time;Country;League;Home;Away;jogosHome;jogosAway;GPH;GAH;GPA;GAA;avgHome;avgAway;avgSum;U25;O25
1;nDSqffRo;13/09/2023;11:00;ALBANIA;FIRST DIVISION - ROUND 2;Burreli;Kastrioti;22;21;1,2273;0,3182;0,5714;1,5714;1,3994;0,4448;1,8442;71,87;28,04
2;C20shyWN;13/09/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 30;Circulo Deportivo;Sol de Mayo;22;22;0,9545;0,9091;0,4545;1,4091;1,1818;0,6818;1,8636;71,36;28,63
3;zFYnANsA;13/09/2023;18:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 1;Coatepeque;Coban Imperial;20;22;0,85;1,0;0,9091;1,0455;0,9477;0,9545;1,9023;70,3;29,65
4;YsGPFNG1;13/09/2023;20:30;ARGENTINA;TORNEO FEDERAL - ROUND 30;Gimnasia E.R.;Douglas Haig;21;22;0,9048;0,8095;1,0909;1,0455;0,9751;0,9502;1,9253;69,68;30,29
5;U7Ovroam;13/09/2023;18:15;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 7;Luis Angel Firpo;Dragon;21;21;0,9048;0,8095;0,9048;1,2381;1,0714;0,8571;1,9286;69,6;30,36
6;K6SWzsbo;13/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;San Lorenzo 2;Tigre 2;22;20;1,1818;0,7727;0,9;1,05;1,1159;0,8364;1,9523;68,96;30,99
7;phvzbGp0;13/09/2023;14:45;BRAZIL;COPA RIO - QUARTER-FINALS;Duque de Caxias;Portuguesa RJ;21;22;1,2381;0,7619;0,8182;1,0909;1,1645;0,79;1,9545;68,89;31,09
8;0UHHHqnk;13/09/2023;20:00;ARGENTINA;TORNEO FEDERAL - ROUND 30;Sportivo Las Parejas;Sportivo Belgrano;21;22;0,9048;0,7143;0,9091;1,4091;1,1569;0,8117;1,9686;68,53;31,46
9;bJ2wzni1;13/09/2023;18:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 4;Gimnasia L.P.;Velez Sarsfield;22;19;0,7727;1,1364;0,7368;1,3158;1,0443;0,9366;1,9809;68,19;31,75
10;vLGLG31e;13/09/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 30;Independiente Chivilcoy;Union Sunchales;21;21;1,5238;0,381;0,5238;1,619;1,5714;0,4524;2,0238;67,03;32,85
11;AwjX1ELp;13/09/2023;09:30;MALAWI;SUPER LEAGUE;Mighty Wanderers;Kamuzu Barracks;22;19;1,7727;0,6818;1,0;0,6316;1,2022;0,8409;2,0431;66,49;33,47
12;6uzFqpIF;13/09/2023;21:30;ARGENTINA;TORNEO FEDERAL - ROUND 30;San Martin Mendoza;Ferro Gen. Pico;23;21;1,2609;0,8261;0,619;1,381;1,3209;0,7226;2,0435;66,49;33,45
13;jN0pV3Gq;13/09/2023;11:30;MONTENEGRO;DRUGA LIGA - ROUND 6;Igalo;Grbalj;21;23;0,9048;0,9048;0,9565;1,3478;1,1263;0,9306;2,0569;66,13;33,85
14;GE3cYrNM;13/09/2023;08:30;CHINA;JIA LEAGUE - ROUND 23;Dongguan Guanlian;Yanbian Longding;21;21;1,1905;1,0476;0,9524;0,9524;1,0714;1,0;2,0714;65,73;34,25
15;QoKH9Qvi;13/09/2023;09:30;MALAWI;SUPER LEAGUE;Silver Strikers;Moyale Barracks;22;21;1,5455;0,8182;0,9524;0,8571;1,2013;0,8853;2,0866;65,33;34,66
16;pfZOHvNS;13/09/2023;17:00;ARGENTINA;TORNEO FEDERAL - ROUND 30;Crucero del Norte;Juventud Antoniana;21;22;1,0952;0,8571;0,6818;1,5909;1,3431;0,7695;2,1126;64,63;35,32
17;YyVfuynU;13/09/2023;20:00;BRAZIL;SERIE D - PLAY OFFS - FINAL;Ferroviaria;Ferroviario;21;23;0,8095;0,8571;1,2174;1,3913;1,1004;1,0373;2,1377;63,94;36,04
18;YRy7o6m3;13/09/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 30;Club Sportivo Penarol;Argentino MM;22;20;1,3182;1,1364;1,15;0,7;1,0091;1,1432;2,1523;63,56;36,44
19;Mul19Hcf;13/09/2023;10:00;GREECE;GREEK CUP - 1/64-FINALS;Makedonikos;PAE Egaleo;22;20;1,3636;0,7273;0,9;1,35;1,3568;0,8136;2,1705;63,07;36,86
20;SlyBpQ29;13/09/2023;21:00;ARGENTINA;TORNEO FEDERAL - ROUND 30;Juventud U.U.;Sportivo Estudiantes;20;22;1,3;0,65;0,8636;1,5909;1,4455;0,7568;2,2023;62,22;37,69
21;8rDxw78i;13/09/2023;04:30;CHINA;JIA LEAGUE - ROUND 23;Dandong Tengyue;Qingdao West Coast;21;20;1,0476;1,1905;1,25;1,0;1,0238;1,2202;2,244;61,1;38,86
22;ppSBZW1B;13/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Estudiantes L.P. 2;Newells Old Boys 2;22;21;1,5909;0,8182;1,1905;0,9048;1,2478;1,0043;2,2522;60,87;39,11
23;r15kz5hA;13/09/2023;08:30;CHINA;JIA LEAGUE - ROUND 23;Jiangxi Lushan;Nanjing City;21;21;0,8095;1,9048;1,1429;0,6667;0,7381;1,5238;2,2619;60,62;39,26
24;Us9MGa5K;13/09/2023;09:00;GREECE;GREEK CUP - 1/64-FINALS;Panthrakikos;Ethnikos Piraeus;22;20;1,6364;1,1364;0,95;0,8;1,2182;1,0432;2,2614;60,62;39,33
25;Q3RmgEth;13/09/2023;11:00;ALBANIA;FIRST DIVISION - ROUND 2;Flamurtari;Bylis;22;21;1,4091;0,7727;1,0;1,381;1,395;0,8864;2,2814;60,09;39,84
26;bTPaxZHh;13/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Belgrano 2;Sarmiento Junin 2;16;21;1,875;0,5625;0,6667;1,4762;1,6756;0,6146;2,2902;59,86;39,95
27;fwWihYeb;13/09/2023;11:00;ALBANIA;FIRST DIVISION - ROUND 2;Korabi Peshkopi;Apolonia Fier;20;22;1,55;0,55;0,9545;1,5455;1,5477;0,7523;2,3;59,61;40,23
28;CtyHJ0hG;13/09/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 30;San Martin Formosa;Sol de America;21;22;1,9524;0,2857;0,7273;1,6364;1,7944;0,5065;2,3009;59,57;40,17
29;IRTaUIZJ;13/09/2023;10:00;GREECE;GREEK CUP - 1/64-FINALS;Kozani FC;Iraklis 1908;22;21;1,7727;0,2273;1,7143;0,9048;1,3387;0,9708;2,3095;59,35;40,6
30;OS4TiRNd;13/09/2023;14:00;MONTENEGRO;DRUGA LIGA - ROUND 6;Kom Podgorica;Otrant;23;20;1,4783;1,0;0,7;1,45;1,4641;0,85;2,3141;59,23;40,68
31;QqJ6ASSD;13/09/2023;20:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 4;Sarmiento Junin;Central Cordoba;22;22;1,1818;1,0455;0,9545;1,4545;1,3182;1,0;2,3182;59,13;40,83
32;QueoJBHU;13/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Argentinos Jrs 2;Colon Santa Fe 2;22;22;1,5;0,8636;0,8636;1,4091;1,4545;0,8636;2,3182;59,12;40,79
33;nJHge7co;13/09/2023;19:00;ARGENTINA;TORNEO FEDERAL - ROUND 30;Villa Mitre;Santamarina;22;21;1,9091;0,5455;0,7619;1,4286;1,6688;0,6537;2,3225;59,0;40,8
34;bVhBq2Pe;13/09/2023;21:30;BRAZIL;SERIE A - ROUND 23;Internacional;Sao Paulo;20;21;1,65;0,95;1,1429;0,9048;1,2774;1,0464;2,3238;58,98;40,96
35;jLuI5ZdJ;13/09/2023;10:00;GREECE;GREEK CUP - 1/64-FINALS;Panargiakos;PAO Varda;20;22;1,65;1,0;0,7727;1,2273;1,4386;0,8864;2,325;58,95;40,96
36;xW8Xjow3;13/09/2023;15:00;MONTENEGRO;DRUGA LIGA - ROUND 6;Bokelj;Berane;21;22;1,4762;0,9524;0,8182;1,4091;1,4426;0,8853;2,3279;58,87;41,05
37;jXZKIK7M;13/09/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 30;Gimnasia y Tiro;Boca Unidos;20;22;1,85;0,5;0,7273;1,5909;1,7205;0,6136;2,3341;58,7;41,11
38;zPHjDDKu;13/09/2023;13:00;ISRAEL;LIGA ALEF SOUTH - ROUND 2;Maccabi Yavne;H. Marmorek;22;21;1,2727;0,8182;1,2857;1,3333;1,303;1,0519;2,355;58,16;41,79
39;hnJgjpA7;13/09/2023;20:10;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 11;Jaguares de Cordoba;America De Cali;21;22;1,1429;0,8095;1,2727;1,5;1,3214;1,0411;2,3626;57,96;42,0
40;Sr090tZS;13/09/2023;18:30;CANADA;CANADIAN PREMIER LEAGUE;Atl. Ottawa;Pacific FC;22;19;1,1364;1,2273;1,4211;0,9474;1,0419;1,3242;2,366;57,87;42,05
41;KbflCRWQ;13/09/2023;22:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 11;Atl. Nacional;La Equidad;19;22;1,6842;0,8421;1,0;1,2273;1,4557;0,9211;2,3768;57,58;42,33
42;I75IHujE;13/09/2023;10:00;GREECE;GREEK CUP - 1/64-FINALS;Ionikos;Athens Kallithea;19;22;1,1579;1,3684;1,4091;0,8182;0,988;1,3888;2,3768;57,56;42,33
43;nZBtxRNc;13/09/2023;08:30;CHINA;JIA LEAGUE - ROUND 23;Shijiazhuang Gongfu;Guangxi Pingguo Haliao;20;22;1,6;1,2;0,7727;1,1818;1,3909;0,9864;2,3773;57,56;42,35
44;GY1jSlfo;13/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;River Plate 2;Banfield 2;21;21;1,5238;0,8571;0,8095;1,5714;1,5476;0,8333;2,381;57,47;42,41
45;8YoDnFgo;13/09/2023;20:00;ARGENTINA;TORNEO FEDERAL - ROUND 30;CA Liniers;Cipolletti;22;21;1,0455;1,1818;0,9524;1,619;1,3323;1,0671;2,3994;57,0;42,94
46;dQKfX2xT;13/09/2023;08:30;CHINA;JIA LEAGUE - ROUND 23;Wuxi Wugou;Suzhou Dongwu;22;21;1,0909;0,9545;1,4762;1,2857;1,1883;1,2154;2,4037;56,88;43,07
47;QDfhBwTs;13/09/2023;10:00;GREECE;GREEK CUP - 1/64-FINALS;Ilioupoli;Levadiakos;21;22;1,7143;1,0476;0,5909;1,4545;1,5844;0,8193;2,4037;56,86;42,97
48;OdICBZEa;13/09/2023;14:45;BRAZIL;COPA RIO - QUARTER-FINALS;Olaria;Nova Iguacu;23;21;1,3913;1,087;0,619;1,7143;1,5528;0,853;2,4058;56,82;43,05
49;OOOUKx5Q;13/09/2023;18:30;CHILE;PRIMERA B - ROUND 23;Cobreloa;S. Morning;22;22;1,4545;0,8636;1,0;1,5455;1,5;0,9318;2,4318;56,15;43,75
50;jNrDYEUQ;13/09/2023;06:00;SOUTH KOREA;K3 LEAGUE - ROUND 22;Chuncheon;Gangneung;22;22;1,3182;1,0909;1,1818;1,2727;1,2955;1,1364;2,4318;56,14;43,79
51;4jfbb87J;13/09/2023;20:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 9;Tepatitlan de Morelos;Correcaminos;18;21;1,4444;0,9444;0,9524;1,5238;1,4841;0,9484;2,4325;56,12;43,77
52;APGoTsod;13/09/2023;14:00;MONTENEGRO;DRUGA LIGA - ROUND 6;Iskra;FK Podgorica;23;23;1,1739;1,5652;0,8261;1,3043;1,2391;1,1957;2,4348;56,07;43,88
53;xGW7WAfs;13/09/2023;23:00;GUATEMALA;LIGA NACIONAL - APERTURA - ROUND 6;Xinabajul;Comunicaciones;21;21;1,4762;1,0476;1,2381;1,1429;1,3095;1,1429;2,4524;55,6;44,3
54;pMFoh6ue;13/09/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 11;Pereira;Dep. Pasto;21;21;1,2857;1,1905;0,9048;1,5238;1,4048;1,0476;2,4524;55,6;44,34
55;jDRuDMZA;13/09/2023;19:45;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 11;Chico;Santa Fe;20;22;1,25;0,55;1,2273;1,9091;1,5795;0,8886;2,4682;55,19;44,66
56;OYPyxPQH;13/09/2023;21:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 8;Ocotal;Sport Sebaco;21;21;1,0476;1,2857;1,0;1,619;1,3333;1,1429;2,4762;55,0;44,95
57;zwB35A1B;13/09/2023;14:00;ALBANIA;SUPERLIGA - ROUND 3;Dinamo Tirana;Kukesi;22;21;1,8182;1,0455;0,9048;1,1905;1,5043;0,9751;2,4794;54,9;44,97
58;b3tohUlU;13/09/2023;10:40;ISRAEL;LIGA ALEF SOUTH - ROUND 2;Holon Yermiyahu;H. Bikat Hayarden;18;20;1,0;1,6111;1,15;1,2;1,1;1,3806;2,4806;54,88;45,04
59;dAMJaNY2;13/09/2023;18:30;CHILE;PRIMERA DIVISION - ROUND 22;Curico Unido;O'Higgins;20;23;1,2;1,4;1,2174;1,1739;1,187;1,3087;2,4957;54,5;45,43
60;Uc1oyow4;13/09/2023;08:30;CHINA;JIA LEAGUE - ROUND 23;Shanghai Jiading Huilong;Sichuan Jiuniu;22;21;1,3636;1,5909;1,2857;0,7619;1,0628;1,4383;2,5011;54,34;45,58
61;S8HGYjHH;13/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Instituto 2;Independiente 2;16;21;1,625;1,0;1,3333;1,0476;1,3363;1,1667;2,503;54,31;45,62
62;txNTmJ4C;13/09/2023;11:00;ALBANIA;FIRST DIVISION - ROUND 2;Tomori Berat;Luzi;21;22;1,3333;0,8571;0,9545;1,8636;1,5985;0,9058;2,5043;54,25;45,57
63;UoFppls4;13/09/2023;18:00;NICARAGUA;LIGA PRIMERA U20 - APERTURA - ROUND 8;Jalapa U20;UNAN-Managua U20;20;22;0,85;1,35;0,7727;2,0455;1,4477;1,0614;2,5091;54,14;45,78
64;8nqqRdMo;13/09/2023;21:00;ECUADOR;SERIE B - ROUND 30;Imbabura;America de Quito;20;21;1,5;1,0;1,0;1,5238;1,5119;1,0;2,5119;54,07;45,8
