Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
1;17/05/2023;16:00;EUROPE;CHAMPIONS LEAGUE - PLAY OFFS - SEMI-FINALS;Manchester City;Real Madrid;32;43;29;43;0,7442;0,6744;1,4186
2;17/05/2023;13:00;AFRICA;CAF CONFEDERATION CUP - PLAY OFFS - SEMI-FINALS;Marumo Gallants;Young Africans;32;43;29;43;0,7442;0,6744;1,4186
3;17/05/2023;16:00;AFRICA;CAF CONFEDERATION CUP - PLAY OFFS - SEMI-FINALS;USM Alger;ASEC Mimosas;24;43;24;43;0,5581;0,5581;1,1162
4;17/05/2023;10:00;ALBANIA;SUPERLIGA - ROUND 33;Erzeni;Bylis;25;43;22;43;0,5814;0,5116;1,093
5;17/05/2023;10:00;ALBANIA;SUPERLIGA - ROUND 33;Kastrioti;Egnatia;20;43;22;43;0,4651;0,5116;0,9767
6;17/05/2023;10:00;ALBANIA;SUPERLIGA - ROUND 33;Kukesi;Laci;29;43;28;43;0,6744;0,6512;1,3256
7;17/05/2023;10:00;ALBANIA;SUPERLIGA - ROUND 33;Vllaznia;Teuta;28;43;19;43;0,6512;0,4419;1,0931
8;17/05/2023;13:30;ALBANIA;SUPERLIGA - ROUND 33;KF Tirana;Partizani;28;43;34;43;0,6512;0,7907;1,4419
9;17/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 23;Chelghoum;Paradou;28;43;34;43;0,6512;0,7907;1,4419
10;17/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 23;Constantine;Saoura;25;43;27;43;0,5814;0,6279;1,2093
11;17/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 23;CR Belouizdad;Arba;26;43;27;43;0,6047;0,6279;1,2326
12;17/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 23;Khenchela;ES Setif;30;43;27;43;0,6977;0,6279;1,3256
13;17/05/2023;14:00;ARGENTINA;TORNEO FEDERAL - ROUND 11;Sportivo Belgrano;El Linqueno;32;43;5;9;0,7442;0,5556;1,2998
14;17/05/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 11;Germinal;Circulo Deportivo;32;43;5;9;0,7442;0,5556;1,2998
15;17/05/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 11;Sol de Mayo;Olimpo Bahia Blanca;20;43;26;43;0,4651;0,6047;1,0698
16;17/05/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 11;Boca Unidos;San Martin Formosa;27;43;28;43;0,6279;0,6512;1,2791
17;17/05/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 11;Defensores Belgrano VR;Def. Pronunciamiento;25;43;31;43;0,5814;0,7209;1,3023
