Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;19/05/2023;16:00;FRANCE;LIGUE 1 - ROUND 36;Lyon;Monaco;0;0;0;0;0;0.0;0;0;0;0
2;19/05/2023;15:30;GERMANY;BUNDESLIGA - ROUND 33;Freiburg;Wolfsburg;0;0;0;0;0;0.0;0;0;0;0
3;19/05/2023;15:45;ITALY;SERIE A - ROUND 36;Sassuolo;Monza;0;0;0;33;43;0.046511627906976744;0;0,7674;0,7674;0,0
4;19/05/2023;16:00;SPAIN;LALIGA - ROUND 35;Cadiz CF;Valladolid;0;0;0;28;43;0.0;0;0,6512;0,6512;0,0
5;19/05/2023;16:00;AFRICA;CAF CHAMPIONS LEAGUE - PLAY OFFS - SEMI-FINALS;Al Ahly;Esperance Tunis;0;0;0;0;0;0.0;0;0;0;0
6;19/05/2023;18:00;AFRICA;AFRICA CUP OF NATIONS U17 - PLAY OFFS - FINAL;Senegal U17;Morocco U17;0;0;0;0;0;0.0;0;0;0;0
7;19/05/2023;10:30;ANDORRA;PRIMERA DIVISIÓ - ROUND 28;Penya;FC Santa Coloma;0;0;0;0;0;0.0;0;0;0;0
8;19/05/2023;15:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Godoy Cruz;Gimnasia L.P.;0;0;0;25;43;0.0;0;0,5814;0,5814;0,0
9;19/05/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Central Cordoba;Union de Santa Fe;0;0;0;25;43;0.0;0;0,5814;0,5814;0,0
10;19/05/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Estudiantes L.P.;Banfield;0;0;0;30;43;0.06976744186046512;0;0,6977;0,6977;0,0
11;19/05/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Rosario Central;Defensa y Justicia;0;0;0;27;43;0.023255813953488372;0;0,6279;0,6279;0,0
12;19/05/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Argentinos Jrs;Boca Juniors;0;0;0;25;43;0.023255813953488372;0;0,5814;0,5814;0,0
13;19/05/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Racing Club;Velez Sarsfield;0;0;0;0;0;0.0;0;0;0;0
14;19/05/2023;21:00;ARUBA;DIVISION DI HONOR - WINNERS STAGE - ROUND 10;Deportivo Nacional;Dakota;0;0;0;0;0;0.0;0;0;0;0
15;19/05/2023;06:45;AUSTRALIA;A-LEAGUE - PLAY OFFS - SEMI-FINALS;Melbourne City;Sydney FC;0;0;0;38;43;0.0;0;0,8837;0,8837;0,0
16;19/05/2023;07:30;AUSTRALIA;NPL QUEENSLAND - ROUND 11;Eastern Suburbs;Olympic FC;0;0;0;36;43;0.0;0;0,8372;0,8372;0,0
17;19/05/2023;07:00;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 13;White City;NE Metrostars;0;0;0;0;0;0.0;0;0;0;0
18;19/05/2023;06:30;AUSTRALIA;NPL VICTORIA - ROUND 14;Melbourne Knights;St Albans;0;0;0;30;43;0.0;0;0,6977;0,6977;0,0
