Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;21/05/2023;09:30;ENGLAND;PREMIER LEAGUE - ROUND 37;West Ham;Leeds;36;43;1,4419;33;43;1,4186;0,8372;0,7674;1,6046;0,6425
2;21/05/2023;10:00;ENGLAND;PREMIER LEAGUE - ROUND 37;Brighton;Southampton;30;43;1,4651;33;43;1,2093;0,6977;0,7674;1,4651;0,5354
3;21/05/2023;12:00;ENGLAND;PREMIER LEAGUE - ROUND 37;Manchester City;Chelsea;33;43;1,3721;26;43;0,9767;0,7674;0,6047;1,3721;0,464
4;21/05/2023;08:00;FRANCE;LIGUE 1 - ROUND 36;AC Ajaccio;Rennes;28;43;1,186;33;42;1,4286;0,6512;0,7857;1,4369;0,5116
5;21/05/2023;10:00;FRANCE;LIGUE 1 - ROUND 36;Brest;Clermont;26;42;1,1429;29;43;1,0465;0,619;0,6744;1,2934;0,4175
6;21/05/2023;10:00;FRANCE;LIGUE 1 - ROUND 36;Nice;Toulouse;33;42;1,1429;31;41;1,5366;0,7857;0,7561;1,5418;0,5941
7;21/05/2023;10:00;FRANCE;LIGUE 1 - ROUND 36;Reims;Angers;28;43;1,0465;37;43;1,4884;0,6512;0,8605;1,5117;0,5604
8;21/05/2023;10:00;FRANCE;LIGUE 1 - ROUND 36;Troyes;Strasbourg;35;43;1,4186;37;42;1,6429;0,814;0,881;1,695;0,7171
9;21/05/2023;12:05;FRANCE;LIGUE 1 - ROUND 36;Lorient;Lens;31;43;1,2326;26;42;1,1905;0,7209;0,619;1,3399;0,4462
10;21/05/2023;15:45;FRANCE;LIGUE 1 - ROUND 36;Auxerre;Paris SG;32;43;1,3953;36;43;1,6977;0,7442;0,8372;1,5814;0,623
11;21/05/2023;10:30;GERMANY;BUNDESLIGA - ROUND 33;Mainz;Stuttgart;35;42;1,5952;33;43;1,3953;0,8333;0,7674;1,6007;0,6395
12;21/05/2023;12:30;GERMANY;BUNDESLIGA - ROUND 33;Augsburg;Dortmund;28;43;1,6047;36;42;1,9048;0,6512;0,8571;1,5083;0,5581
13;21/05/2023;14:30;GERMANY;BUNDESLIGA - ROUND 33;Bayer Leverkusen;B. Monchengladbach;30;43;1,186;34;43;1,6047;0,6977;0,7907;1,4884;0,5517
14;21/05/2023;07:30;ITALY;SERIE A - ROUND 36;Lecce;Spezia;31;43;1,1628;35;43;1,3256;0,7209;0,814;1,5349;0,5868
15;21/05/2023;10:00;ITALY;SERIE A - ROUND 36;Torino;Fiorentina;30;43;0,9535;34;43;1,3256;0,6977;0,7907;1,4884;0,5517
16;21/05/2023;13:00;ITALY;SERIE A - ROUND 36;Napoli;Inter;30;43;1,2791;25;43;1,093;0,6977;0,5814;1,2791;0,4056
17;21/05/2023;15:45;ITALY;SERIE A - ROUND 36;Udinese;Lazio;33;43;1,3721;33;43;1,1395;0,7674;0,7674;1,5348;0,5889
18;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;Ajax;Utrecht;34;42;1,6429;30;43;1,3023;0,8095;0,6977;1,5072;0,5648
19;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;Excelsior;Sittard;28;42;1,381;30;43;1,2558;0,6667;0,6977;1,3644;0,4652
20;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;FC Emmen;Feyenoord;27;43;1,3488;34;42;1,5238;0,6279;0,8095;1,4374;0,5083
21;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;G.A. Eagles;FC Volendam;34;41;1,6098;33;43;1,5814;0,8293;0,7674;1,5967;0,6364
22;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;Nijmegen;AZ Alkmaar;29;43;1,3256;35;43;1,6512;0,6744;0,814;1,4884;0,549
23;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;PSV;Heerenveen;34;43;1,4186;28;42;1,3095;0,7907;0,6667;1,4574;0,5272
24;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;Sparta Rotterdam;Cambuur;31;43;1,2326;31;43;1,2558;0,7209;0,7209;1,4418;0,5197
25;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;Vitesse;Groningen;28;43;1,186;32;43;1,3721;0,6512;0,7442;1,3954;0,4846
26;21/05/2023;09:30;NETHERLANDS;EREDIVISIE - ROUND 33;Waalwijk;Twente;30;42;1,3095;30;43;1,3721;0,7143;0,6977;1,412;0,4984
27;21/05/2023;09:00;SPAIN;LALIGA - ROUND 35;Rayo Vallecano;Espanyol;27;43;1,1163;28;43;1,0465;0,6279;0,6512;1,2791;0,4089
28;21/05/2023;11:15;SPAIN;LALIGA - ROUND 35;Atl. Madrid;Osasuna;28;43;1,0698;26;43;0,8605;0,6512;0,6047;1,2559;0,3938
29;21/05/2023;13:30;SPAIN;LALIGA - ROUND 35;Valencia;Real Madrid;29;43;1,0;29;43;1,3256;0,6744;0,6744;1,3488;0,4548
30;21/05/2023;16:00;SPAIN;LALIGA - ROUND 35;Sevilla;Betis;27;43;1,0;24;43;1,093;0,6279;0,5581;1,186;0,3504
31;21/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 1;Israel U20;Colombia U20;1;2;1,0;30;43;1,2326;0,5;0,6977;1,1977;0,3488
32;21/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 1;Nigeria U20;Dominican Republic U20;24;37;1,1622;18;21;2,2381;0,6486;0,8571;1,5057;0,5559
33;21/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 1;Italy U20;Brazil U20;32;43;1,6279;26;43;1,0698;0,7442;0,6047;1,3489;0,45
34;21/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 1;Senegal U20;Japan U20;33;42;1,4286;26;38;1,0526;0,7857;0,6842;1,4699;0,5376
35;21/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 34;Bylis;Kukesi;21;43;0,8605;28;43;0,814;0,4884;0,6512;1,1396;0,318
36;21/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 34;Egnatia;Erzeni;20;42;0,7143;24;43;0,7907;0,4762;0,5581;1,0343;0,2658
37;21/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 34;Laci;KF Tirana;27;43;1,0;27;43;1,1163;0,6279;0,6279;1,2558;0,3943
38;21/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 34;Partizani;Vllaznia;33;43;1,2326;28;43;1,0;0,7674;0,6512;1,4186;0,4997
39;21/05/2023;11:00;ALBANIA;SUPERLIGA - ROUND 34;Teuta;Kastrioti;20;43;0,7674;19;43;0,8605;0,4651;0,4419;0,907;0,2055
40;21/05/2023;12:00;ALGERIA;LIGUE 1 - ROUND 20;Paradou;USM Alger;25;43;0,8372;24;43;0,8605;0,5814;0,5581;1,1395;0,3245
41;21/05/2023;12:00;ALGERIA;ALGERIA CUP - QUARTER-FINALS;CR Belouizdad;Khroub;25;43;1,0;20;42;0,8095;0,5814;0,4762;1,0576;0,2769
42;21/05/2023;06:00;ANDORRA;PRIMERA DIVISIÓ - ROUND 28;Atletic Escaldes;Inter Escaldes;25;40;1,05;32;42;1,4286;0,625;0,7619;1,3869;0,4762
43;21/05/2023;12:00;ANDORRA;PRIMERA DIVISIÓ - ROUND 28;Sant Julia;Ordino;31;40;1,625;28;42;1,2619;0,775;0,6667;1,4417;0,5167
44;21/05/2023;12:00;ANDORRA;PRIMERA DIVISIÓ - ROUND 28;UE Santa Coloma;UE Engordany;27;43;1,0233;25;38;1,3158;0,6279;0,6579;1,2858;0,4131
45;21/05/2023;15:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Belgrano;Talleres Cordoba;24;43;0,814;25;43;0,9302;0,5581;0,5814;1,1395;0,3245
46;21/05/2023;18:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Colon Santa Fe;Barracas Central;30;43;1,0233;32;43;1,1395;0,6977;0,7442;1,4419;0,5192
47;21/05/2023;18:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Sarmiento Junin;Huracan;26;43;0,9302;27;43;1,1163;0,6047;0,6279;1,2326;0,3797
48;21/05/2023;20:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;River Plate;Platense;30;43;1,1395;26;42;1,0;0,6977;0,619;1,3167;0,4319
49;21/05/2023;14:00;ARGENTINA;PRIMERA NACIONAL - ROUND 15;Chacarita Juniors;Brown Adrogue;26;43;0,9535;21;43;0,7907;0,6047;0,4884;1,0931;0,2953
50;21/05/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 17;Guillermo Brown;Flandria;25;43;0,9767;28;43;1,0;0,5814;0,6512;1,2326;0,3786
51;21/05/2023;15:30;ARGENTINA;PRIMERA NACIONAL - ROUND 15;Deportivo Maipu;Villa Dalmine;29;43;1,1163;27;43;1,2093;0,6744;0,6279;1,3023;0,4235
52;21/05/2023;16:00;ARGENTINA;PRIMERA NACIONAL - ROUND 15;CA Mitre;CA Estudiantes;28;43;1,0698;24;43;0,7674;0,6512;0,5581;1,2093;0,3634
53;21/05/2023;16:00;ARGENTINA;PRIMERA NACIONAL - ROUND 17;San Martin T.;Deportivo Moron;22;43;0,5814;23;43;0,6977;0,5116;0,5349;1,0465;0,2737
54;21/05/2023;15:00;ARGENTINA;TORNEO FEDERAL - ROUND 12;Circulo Deportivo;Sol de Mayo;30;43;1,0;21;43;0,8372;0,6977;0,4884;1,1861;0,3408
55;21/05/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 12;El Linqueno;Defensores Belgrano VR;5;10;0,7;25;43;0,9302;0,5;0,5814;1,0814;0,2907
56;21/05/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 12;Gimnasia E.R.;Douglas Haig;27;43;1,0465;27;43;0,9535;0,6279;0,6279;1,2558;0,3943
57;21/05/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 12;Independiente Chivilcoy;Union Sunchales;24;43;0,9302;25;43;0,7907;0,5581;0,5814;1,1395;0,3245
58;21/05/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 12;Sansinena;Germinal;34;43;1,2558;6;10;1,1;0,7907;0,6;1,3907;0,4744
59;21/05/2023;15:30;ARGENTINA;TORNEO FEDERAL - ROUND 12;Villa Mitre;Santamarina;24;43;0,7907;27;43;1,0465;0,5581;0,6279;1,186;0,3504
60;21/05/2023;15:45;ARGENTINA;TORNEO FEDERAL - ROUND 12;Juventud Unida Universitario;Sportivo Estudiantes;25;43;0,8837;28;43;1,0698;0,5814;0,6512;1,2326;0,3786
61;21/05/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 12;CA Liniers;Cipolletti;26;43;1,1163;25;43;0,814;0,6047;0,5814;1,1861;0,3516
62;21/05/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 12;Club Sportivo Penarol;Argentino MM;26;43;1,1628;26;42;1,1429;0,6047;0,619;1,2237;0,3743
63;21/05/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 12;Crucero del Norte;Antoniana;26;43;1,0;32;43;1,0;0,6047;0,7442;1,3489;0,45
64;21/05/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 12;Gimnasia y Tiro;Boca Unidos;26;43;0,814;26;43;1,2326;0,6047;0,6047;1,2094;0,3657
65;21/05/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 12;Huracan Las Heras;Biblioteca Atenas;22;43;0,6977;9;10;1,5;0,5116;0,9;1,4116;0,4604
66;21/05/2023;16:30;ARGENTINA;TORNEO FEDERAL - ROUND 12;San Martin Formosa;Formosa;28;43;0,9535;22;37;1,027;0,6512;0,5946;1,2458;0,3872
67;21/05/2023;17:00;ARGENTINA;TORNEO FEDERAL - ROUND 12;Sportivo Las Parejas;Sportivo Belgrano;25;43;1,0;31;43;1,1395;0,5814;0,7209;1,3023;0,4191
