Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;01/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;PK-35 Helsinki W;KuPS W;11;13;0,8462;46;13;3,5385;4,3847
2;01/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Aland Utd W;Ilves W;42;13;3,2308;15;13;1,1538;4,3846
3;01/08/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Portugal W;USA W;2;2;1,0;4;2;2,0;3,0
4;01/08/2023;21:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 2;Leones;Quindio;2;1;2,0;1;1;1,0;3,0
5;01/08/2023;17:30;WORLD;COTIF TOURNAMENT;Saudi Arabia U20;Valencia U20;3;2;1,5;3;2;1,5;3,0
6;01/08/2023;20:00;USA;NISA;Michigan Stars;Maryland Bobcats;14;11;1,2727;21;14;1,5;2,7727
7;01/08/2023;14:00;SWEDEN;DIVISION 2 - NORRA SVEALAND - ROUND 14;Kvarnsveden;Osteraker IFK;12;12;1,0;23;13;1,7692;2,7692
8;01/08/2023;21:00;ECUADOR;SERIE B - ROUND 23;Cuniburo;Nueve de Octubre;22;21;1,0476;34;22;1,5455;2,5931
9;01/08/2023;09:15;VIETNAM;V.LEAGUE 1 - CHAMPIONSHIP GROUP - ROUND 4;Viettel;Binh Dinh;20;16;1,25;19;16;1,1875;2,4375
10;01/08/2023;21:30;BRAZIL;SERIE B - ROUND 21;CRB;Atletico GO;20;19;1,0526;27;20;1,35;2,4026
11;01/08/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 14;Hantharwady Utd;Kachin United;19;13;1,4615;11;13;0,8462;2,3077
12;01/08/2023;13:00;FINLAND;KANSALLINEN LIIGA WOMEN;TPS W;PK-35 Vantaa W;14;13;1,0769;16;13;1,2308;2,3077
13;01/08/2023;17:00;ECUADOR;SERIE B - ROUND 23;Manta;America de Quito;25;22;1,1364;25;22;1,1364;2,2728
14;01/08/2023;17:00;PERU;LIGA 1 - CLAUSURA - ROUND 6;Dep. Municipal;ADT Tarma;4;5;0,8;5;4;1,25;2,05
15;01/08/2023;15:00;WORLD;COTIF TOURNAMENT;Elche U20;ADH Brasil;2;2;1,0;2;2;1,0;2,0
16;01/08/2023;09:00;BHUTAN;PREMIER LEAGUE;Thimphu Raven;BFF Academy U19;0;1;0,0;2;1;2,0;2,0
17;01/08/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Honka W;ONS Oulu W;14;13;1,0769;11;13;0,8462;1,9231
18;01/08/2023;19:00;BRAZIL;SERIE B - ROUND 21;Mirassol;Avai;22;20;1,1;13;19;0,6842;1,7842
19;01/08/2023;19:00;BRAZIL;SERIE B - ROUND 21;Sampaio Correa;Botafogo SP;16;20;0,8;15;19;0,7895;1,5895
20;01/08/2023;08:00;WORLD;WORLD CUP WOMEN - ROUND 3;China W;England W;1;2;0,5;2;2;1,0;1,5
21;01/08/2023;04:00;WORLD;WORLD CUP WOMEN - ROUND 3;Vietnam W;Netherlands W;0;2;0,0;2;2;1,0;1,0
22;01/08/2023;14:00;ISRAEL;TOTO CUP - ROUND 2;Hapoel Petah Tikva;Hapoel Jerusalem;0;1;0,0;1;1;1,0;1,0
23;01/08/2023;08:00;WORLD;WORLD CUP WOMEN - ROUND 3;Haiti W;Denmark W;0;2;0,0;1;2;0,5;0,5
24;01/08/2023;13:45;ISRAEL;TOTO CUP - ROUND 2;SC Ashdod;Maccabi Petah Tikva;0;0;0,0;0;1;0,0;0,0
25;01/08/2023;10:30;ARMENIA;FIRST LEAGUE - ROUND 1;Ararat Yerevan 2;Nikarm;0;0;0;0;0;0;0
26;01/08/2023;14:00;GERMANY;REGIONALLIGA WEST - ROUND 1;Fortuna Koln;Koln II;0;0;0;0;0;0;0
27;01/08/2023;09:00;ARMENIA;FIRST LEAGUE - ROUND 1;FC Gandzasar;Onor;0;0;0;0;0;0;0
28;01/08/2023;12:00;ARMENIA;FIRST LEAGUE - ROUND 1;Urartu 2;Mika Jerevan;0;0;0;0;0;0;0
29;01/08/2023;10:30;ARMENIA;FIRST LEAGUE - ROUND 1;Pyunik Yerevan 2;BKMA 2;0;0;0;0;0;0;0
30;01/08/2023;10:30;ARMENIA;FIRST LEAGUE - ROUND 1;Ararat-Armenia 2;Shirak Gyumri 2;0;0;0;0;0;0;0
31;01/08/2023;10:30;ARMENIA;FIRST LEAGUE - ROUND 1;Alashkert 2;Andranik;0;0;0;0;0;0;0
