Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Mid-Ulster W;Ballymena W;21;22;2,2727;6;6;2,6667;0,9545;1,0;1,9545
2;02/06/2023;13:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 8;Parnu JK Vaprus W;Tallina Kalev W;30;30;3,3667;27;30;2,1;1,0;0,9;1,9
3;02/06/2023;21:00;USA;USL LEAGUE TWO;Minneapolis City;Bavarian United;13;15;1,7333;7;7;1,5714;0,8667;1,0;1,8667
4;02/06/2023;23:00;USA;USL LEAGUE TWO;Ballard;PDX FC;16;17;1,5294;21;23;2,0;0,9412;0,913;1,8542
5;02/06/2023;23:00;USA;USL LEAGUE TWO;Lane United;United PDX;25;30;1,8;2;2;3,0;0,8333;1,0;1,8333
6;02/06/2023;15:00;SWITZERLAND;SUPER LEAGUE WOMEN - PLAY OFFS - FINAL;Servette Geneve FC W;Zurich W;27;30;1,7667;27;30;1,9;0,9;0,9;1,8
7;02/06/2023;11:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;Zhenis;Aktobe 2;24;30;1,4667;8;8;2,25;0,8;1,0;1,8
8;02/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 4;Ypiranga AP;Santana EC;26;30;1,4667;26;28;1,7857;0,8667;0,9286;1,7953
9;02/06/2023;20:00;USA;USL LEAGUE TWO;Thunder Bay Chill;Rochester FC;17;22;1,2273;1;1;2,0;0,7727;1,0;1,7727
10;02/06/2023;07:00;CZECH REPUBLIC;U19 LEAGUE - ROUND 29;Dukla Prague U19;Brno U19;27;30;1,8667;26;30;1,9;0,9;0,8667;1,7667
11;02/06/2023;15:45;IRELAND;DIVISION 1 - ROUND 17;Waterford;Treaty United;28;30;1,7667;25;30;1,5667;0,9333;0,8333;1,7666
12;02/06/2023;19:00;NORTH & CENTRAL AMERICA;CONCACAF CHAMPIONSHIP WOMEN U20 - PLAY OFFS - SEMI-FINALS;USA U20 W;Costa Rica U20 W;28;30;2,7;25;30;2,0667;0,9333;0,8333;1,7666
13;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Linfield W;Sion Swifts W;28;30;1,9;25;30;1,9;0,9333;0,8333;1,7666
14;02/06/2023;13:30;AUSTRIA;REGIONALLIGA WEST - SALZBURG - RELEGATION GROUP - ROUND 31;SAK 1914;USK Anif;26;30;1,6667;26;30;1,7;0,8667;0,8667;1,7334
15;02/06/2023;15:15;FAROE ISLANDS;1. DEILD - ROUND 12;Sandur;Klaksvik 2;26;30;1,6333;26;30;1,8333;0,8667;0,8667;1,7334
16;02/06/2023;12:30;FINLAND;KANSALLINEN LIIGA WOMEN;Ilves W;KuPS W;25;30;1,5333;27;30;2,0;0,8333;0,9;1,7333
17;02/06/2023;13:30;GERMANY;REGIONALLIGA BAYERN - RELEGATION - FINAL;Spvgg Ansbach 09;Gebenbach;25;30;1,7333;27;30;2,1333;0,8333;0,9;1,7333
18;02/06/2023;07:15;AUSTRALIA;NPL QUEENSLAND - ROUND 12;Olympic FC;Moreton Bay Utd;27;30;2,0667;24;30;1,6;0,9;0,8;1,7
19;02/06/2023;20:00;PERU;LIGA WOMEN - ROUND 10;Killas W;Sporting Victoria W;17;25;1,32;3;3;2,0;0,68;1,0;1,68
20;02/06/2023;09:00;KENYA;SUPER LEAGUE - ROUND 31;Kajiado;Vihiga United;19;22;1,6364;17;21;1,5238;0,8636;0,8095;1,6731
21;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Weindorf St. Anna;Treibach;27;30;1,5333;23;30;1,4333;0,9;0,7667;1,6667
22;02/06/2023;13:00;SWEDEN;ALLSVENSKAN WOMEN - ROUND 11;Hacken W;Kristianstad W;24;30;1,5333;26;30;1,5333;0,8;0,8667;1,6667
23;02/06/2023;16:15;ICELAND;LENGJUDEILDIN - ROUND 5;Grotta;Leiknir;24;30;1,3667;26;30;1,8;0,8;0,8667;1,6667
24;02/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 11;Beijing Guoan;Changchun Yatai;24;30;1,5;26;30;1,5;0,8;0,8667;1,6667
25;02/06/2023;14:30;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 32;A. Lustenau;Hartberg;23;30;1,4667;27;30;1,5667;0,7667;0,9;1,6667
26;02/06/2023;23:00;MEXICO;LIGA MX WOMEN - CLAUSURA - PLAY OFFS - FINAL;Pachuca W;Club America W;25;30;1,9;25;30;1,6;0,8333;0,8333;1,6666
27;02/06/2023;10:00;KAZAKHSTAN;FIRST DIVISION - ROUND 10;K. Almaty 2;Jas Qyran;25;30;1,7333;10;12;1,8333;0,8333;0,8333;1,6666
28;02/06/2023;16:00;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Crusaders W;Lisburn Ladies W;25;30;1,7333;19;23;2,1739;0,8333;0,8261;1,6594
29;02/06/2023;13:00;CZECH REPUBLIC;PLZENSKY KP - ROUND 29;Petrin Plzen B;Chotikov;23;28;2,6429;25;30;1,8667;0,8214;0,8333;1,6547
30;02/06/2023;08:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 11;Perth Glory U21;Floreat Athena;23;30;1,7;26;30;1,7333;0,7667;0,8667;1,6334
31;02/06/2023;14:00;AUSTRIA;REGIONALLIGA WEST - TYROL - RELEGATION GROUP - ROUND 30;SC Kundl;SV Worgl;23;30;1,2;26;30;1,6333;0,7667;0,8667;1,6334
32;02/06/2023;12:30;CZECH REPUBLIC;MSFL - ROUND 31;Znojmo;Uhersky Brod;26;30;1,4667;23;30;1,3667;0,8667;0,7667;1,6334
33;02/06/2023;06:00;AUSTRALIA;NPL ACT - ROUND 4;Tigers FC;Gungahlin;23;30;1,6333;26;30;1,9667;0,7667;0,8667;1,6334
34;02/06/2023;16:15;ICELAND;DIVISION 2 - ROUND 5;Throttur Vogar;IR Reykjavik;24;30;1,2667;25;30;1,6667;0,8;0,8333;1,6333
35;02/06/2023;07:00;AUSTRALIA;NPL VICTORIA - ROUND 16;Green Gully;Bentleigh Greens;25;30;1,5667;24;30;1,4;0,8333;0,8;1,6333
36;02/06/2023;13:00;CZECH REPUBLIC;DIVISION D - ROUND 25;Start Brno;Stara Rise;24;30;1,7333;25;30;1,4333;0,8;0,8333;1,6333
37;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;LASK (Am);WSC Wels;25;30;1,6;24;30;1,4;0,8333;0,8;1,6333
38;02/06/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 7;Cliftonville W;Glentoran W;24;30;2,2;25;30;2,6333;0,8;0,8333;1,6333
39;02/06/2023;14:00;AUSTRIA;REGIONALLIGA CENTRAL - ROUND 29;Wolfsberger AC (Am);Bad Gleichenberg;25;30;1,6333;24;30;1,8;0,8333;0,8;1,6333
40;02/06/2023;20:00;USA;USL LEAGUE TWO;RC New Jersey;Lehigh Valley;23;29;1,8621;25;30;1,6;0,7931;0,8333;1,6264
41;02/06/2023;17:30;PERU;LIGA WOMEN - ROUND 10;Cesar Vallejo W;Carlos Mannucci W;20;26;1,6538;23;27;1,7407;0,7692;0,8519;1,6211
42;02/06/2023;08:00;SEYCHELLES;FIRST DIVISION LEAGUE - CHAMPIONSHIP GROUP - ROUND 14;Anse Reunion;Bazar Brothers;8;9;2,5556;8;11;1,7273;0,8889;0,7273;1,6162
43;02/06/2023;12:00;CZECH REPUBLIC;DIVISION F - ROUND 25;Valasske Mezirici;Frenstat p. R.;24;30;1,5667;24;30;1,8333;0,8;0,8;1,6
44;02/06/2023;08:35;CHINA;SUPER LEAGUE - ROUND 11;Zhejiang Professional;Shenzhen;23;30;1,2333;25;30;1,4;0,7667;0,8333;1,6
45;02/06/2023;14:00;TURKEY;SUPER LIG WOMEN - PLAY OFFS - FINAL;Fomget GSK W;Fenerbahce W;23;30;1,7667;25;30;1,9667;0,7667;0,8333;1,6
46;02/06/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 19;Abahani Limited;Sheikh Jamal;26;30;1,7667;22;30;1,1333;0,8667;0,7333;1,6
47;02/06/2023;15:45;IRELAND;PREMIER DIVISION - ROUND 18;UC Dublin;St. Patricks;26;30;1,3;22;30;1,4;0,8667;0,7333;1,6
