Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;AvgHome;golsAway;jogosAway;AvgAway;avgSum
1;03/08/2023;06:00;BHUTAN;PREMIER LEAGUE;Paro;Thimphu City;7;2;3,5;10;2;5,0;8,5
2;03/08/2023;14:00;ESTONIA;MEISTRILIIGA WOMEN - ROUND 12;Tabasalu W;Saku Sporting W;23;11;2,0909;43;12;3,5833;5,6742
3;03/08/2023;08:45;SINGAPORE;PREMIER LEAGUE;Geylang;Albirex Niigata;34;20;1,7;67;20;3,35;5,05
4;03/08/2023;11:00;KAZAKHSTAN;FIRST DIVISION - ROUND 18;FK Akzhayik;Zhenis;40;16;2,5;37;16;2,3125;4,8125
5;03/08/2023;08:00;MALDIVES;DHIVEHI PREMIER LEAGUE - ROUND 7;Super United Sports;Buru Sports;18;6;3,0;10;6;1,6667;4,6667
6;03/08/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 15;Shan Utd;Ayeyawady;35;14;2,5;26;14;1,8571;4,3571
7;03/08/2023;17:15;PERU;LIGA 2 - ROUND 18;Llacuabamba;Comerciantes Unidos;30;17;1,7647;42;17;2,4706;4,2353
8;03/08/2023;15:00;ICELAND;DIVISION 2 - ROUND 15;Fjardabyggd/Leiknir;Dalvik/Reynir;31;14;2,2143;28;14;2,0;4,2143
9;03/08/2023;16:15;ICELAND;BESTA DEILD WOMEN - ROUND 15;Valur W;Throttur W;29;13;2,2308;25;13;1,9231;4,1539
10;03/08/2023;10:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 3;Al Wahda;Raja Casablanca;4;2;2,0;4;2;2,0;4,0
11;03/08/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 3;Zamalek;Al-Nassr;4;2;2,0;4;2;2,0;4,0
12;03/08/2023;09:00;INDONESIA;LIGA 1 - ROUND 6;Persib Bandung;Bali United;10;5;2,0;9;5;1,8;3,8
13;03/08/2023;12:30;FAROE ISLANDS;1. DEILD - ROUND 17;Klaksvik 2;HB Torshavn 2;28;16;1,75;30;15;2,0;3,75
14;03/08/2023;17:15;PERU;LIGA 2 - ROUND 18;Santos;Los Chankas;19;17;1,1176;42;17;2,4706;3,5882
15;03/08/2023;07:00;WORLD;WORLD CUP WOMEN - ROUND 3;South Korea W;Germany W;0;2;0,0;7;2;3,5;3,5
16;03/08/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 18;Kairat Almaty 2;FK Kyran;28;16;1,75;27;16;1,6875;3,4375
17;03/08/2023;20:00;USA;MLS NEXT PRO;Columbus Crew 2;Toronto FC II;33;19;1,7368;34;20;1,7;3,4368
18;03/08/2023;08:35;CHINA;SUPER LEAGUE - ROUND 20;Shanghai Port;Tianjin Jinmen Tiger;40;19;2,1053;25;19;1,3158;3,4211
19;03/08/2023;15:00;PERU;LIGA 2 - ROUND 18;Alfonso Ugarte;Alianza Huanuco;29;17;1,7059;29;17;1,7059;3,4118
20;03/08/2023;20:00;USA;MLS NEXT PRO;Chicago Fire II;Atlanta United 2;33;20;1,65;33;20;1,65;3,3
21;03/08/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 15;Sagaing;Dagon;21;14;1,5;25;14;1,7857;3,2857
22;03/08/2023;05:00;INDONESIA;LIGA 1 - ROUND 6;PSM Makassar;Persik Kediri;7;5;1,4;9;5;1,8;3,2
23;03/08/2023;10:30;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 19;FC Gareji Sagarejo;Merani Tbilisi;43;18;2,3889;14;18;0,7778;3,1667
24;03/08/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 18;Arys;Akademiya Ontustik;22;16;1,375;26;15;1,7333;3,1083
25;03/08/2023;12:55;SERBIA;SUPER LIGA - ROUND 2;Radnicki Nis;TSC;0;1;0,0;3;1;3,0;3,0
26;03/08/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 3;Leones Negros;Alebrijes Oaxaca;4;2;2,0;1;1;1,0;3,0
27;03/08/2023;13:00;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 19;Loco. Tbilisi;Bolnisi;24;18;1,3333;29;18;1,6111;2,9444
28;03/08/2023;16:15;ICELAND;BESTA DEILD WOMEN - ROUND 15;Breidablik W;Selfoss W;30;13;2,3077;8;13;0,6154;2,9231
29;03/08/2023;10:30;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 19;WIT Georgia;Poti;24;18;1,3333;28;18;1,5556;2,8889
30;03/08/2023;21:00;ECUADOR;SERIE B - ROUND 23;Imbabura;Chacaritas;37;22;1,6818;25;21;1,1905;2,8723
31;03/08/2023;07:00;WORLD;WORLD CUP WOMEN - ROUND 3;Morocco W;Colombia W;1;2;0,5;4;2;2,0;2,5
32;03/08/2023;13:00;MALDIVES;DHIVEHI PREMIER LEAGUE - ROUND 7;TC Sports Club;United Victory;9;6;1,5;6;6;1,0;2,5
33;03/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 15;Faizkand;CSKA Pomir Dushanbe;21;14;1,5;11;13;0,8462;2,3462
34;03/08/2023;06:00;VIETNAM;V.LEAGUE 2 - ROUND 14;Binh Thuan;PVF-CAND;16;13;1,2308;14;13;1,0769;2,3077
35;03/08/2023;10:30;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 19;Merani Martvili;Khobi;13;18;0,7222;27;18;1,5;2,2222
36;03/08/2023;09:00;INDONESIA;LIGA 1 - ROUND 6;Persita;FC Bhayangkara;6;5;1,2;4;5;0,8;2,0
37;03/08/2023;13:00;PERU;LIGA 2 - ROUND 18;Ayacucho;Comerciantes;17;17;1,0;16;17;0,9412;1,9412
38;03/08/2023;06:00;VIETNAM;V.LEAGUE 2 - ROUND 14;Hue;Binh Phuoc;8;13;0,6154;16;13;1,2308;1,8462
39;03/08/2023;08:00;VIETNAM;V.LEAGUE 2 - ROUND 14;Ba Ria Vung Tau;TTBD Phu Dong;11;13;0,8462;13;13;1,0;1,8462
40;03/08/2023;06:30;INDIA;CALCUTTA PREMIER DIVISION;Kidderpore;Rainbow;3;5;0,6;1;1;1,0;1,6
41;03/08/2023;10:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 3;CR Belouizdad;Al Kuwait;2;2;1,0;1;2;0,5;1,5
42;03/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 15;Khosilot Parkhar;Khatlon;10;14;0,7143;8;14;0,5714;1,2857
43;03/08/2023;12:00;WORLD;ARAB CLUB CHAMPIONS CUP - ROUND 3;Al-Shabab;Monastir;1;2;0,5;1;2;0,5;1,0
44;03/08/2023;13:00;JORDAN;PREMIER LEAGUE - ROUND 1;Al Jalil;Maan;0;0;0;0;0;0;0
45;03/08/2023;23:00;NORTH & CENTRAL AMERICA;CONCACAF CENTRAL AMERICAN CUP - ROUND 1;Saprissa;Cartagines;0;0;0;0;0;0;0
46;03/08/2023;09:15;INDIA;DURAND CUP;Mohun Bagan;Bangladesh Army;0;0;0;0;0;0;0
47;03/08/2023;15:30;JORDAN;PREMIER LEAGUE - ROUND 1;Moghayer Al Sarhan;Al Ramtha;0;0;0;0;0;0;0
48;03/08/2023;21:00;NORTH & CENTRAL AMERICA;CONCACAF CENTRAL AMERICAN CUP - ROUND 1;Diriangen;Herediano;0;0;0;0;0;0;0
