Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
1;04/06/2023;05:30;CZECH REPUBLIC;JIHOCESKY KP - ROUND 29;Trebon;Taborsko B;15;15;1,9333;15;15;2,7333;1,0;1,0;2,0
2;04/06/2023;05:00;CZECH REPUBLIC;KARLOVARSKY KP - ROUND 25;Karlovy Vary B;Chodov;15;15;2,9333;15;15;2,4667;1,0;1,0;2,0
3;04/06/2023;11:00;BOLIVIA;NACIONAL B - FIRST STAGE;Pasion Celeste;Real Mizque;1;1;1,0;2;2;1,0;1,0;1,0;2,0
4;04/06/2023;12:00;CROATIA;1. HNL WOMEN - RELEGATION - FINAL;Rijeka W;Medimurje Cakovec W;15;15;2,7333;14;14;3,0714;1,0;1,0;2,0
5;04/06/2023;09:00;NETHERLANDS;DERDE DIVISIE - RELEGATION - SEMI-FINALS;Baronie;SV Juliana;14;15;1,7333;4;4;2,0;0,9333;1,0;1,9333
6;04/06/2023;12:30;PERU;LIGA WOMEN - ROUND 10;Atletico Trujillo W;Defensores W;14;15;1,8667;5;5;2,4;0,9333;1,0;1,9333
7;04/06/2023;12:00;CZECH REPUBLIC;KARLOVARSKY KP - ROUND 25;Touzim;Lomnice;14;15;3,0;15;15;2,2667;0,9333;1,0;1,9333
8;04/06/2023;19:00;USA;MLS NEXT PRO;Cincinnati 2;Philadelphia Union II;14;15;1,9333;11;11;2,1818;0,9333;1,0;1,9333
9;04/06/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 8;Kolstad;Strindheim;15;15;2,3333;14;15;2,1333;1,0;0,9333;1,9333
10;04/06/2023;10:30;ROMANIA;ROMANIAN CUP WOMEN - SEMI-FINALS;Carmen Bucuresti W;Gloria 2018 Bistrita W;14;15;2,2667;3;3;2,6667;0,9333;1,0;1,9333
11;04/06/2023;07:00;MACAO;ELITE LEAGUE - ROUND 12;Chao Pak Kei;Tak Chun Ka I;14;15;2,6667;15;15;2,4667;0,9333;1,0;1,9333
12;04/06/2023;12:00;CZECH REPUBLIC;OLOMOUCKY KP - ROUND 27;Velke Losiny;Jesenik;14;15;2,2667;11;11;1,9091;0,9333;1,0;1,9333
13;04/06/2023;07:00;ROMANIA;ROMANIAN CUP WOMEN - SEMI-FINALS;Ol. Cluj W;Csikszereda M. Ciuc W;13;15;2,8;2;2;1,0;0,8667;1,0;1,8667
14;04/06/2023;15:00;BRAZIL;CAMPEONATO BAIANO 2 - ROUND 4;Galicia;Grapiuna;13;15;1,8;1;1;2,0;0,8667;1,0;1,8667
15;04/06/2023;12:00;CZECH REPUBLIC;ZLINSKY KP - ROUND 25;Borsice;Nedasov;15;15;2,1333;13;15;1,2;1,0;0,8667;1,8667
16;04/06/2023;12:00;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 29;Police nad Metuji;Chlumec nad Cidlinou B;13;15;1,7333;13;13;2,4615;0,8667;1,0;1,8667
17;04/06/2023;20:00;USA;USL LEAGUE TWO;Oly Town;United PDX;13;15;1,9333;2;2;3,0;0,8667;1,0;1,8667
18;04/06/2023;12:10;SCOTLAND;SWPL 1 WOMEN - RELEGATION - FINAL;Hamilton W;Gartcairn W;13;15;1,7333;3;3;2,6667;0,8667;1,0;1,8667
19;04/06/2023;11:00;SWEDEN;DIVISION 2 - NORRA GÖTALAND - ROUND 10;Vanersborgs FK;Nordvarmland;14;15;1,6;14;15;1,9333;0,9333;0,9333;1,8666
20;04/06/2023;10:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 12;Dyussh-Polesgu W;Dynamo Brest W;9;10;5,0;14;15;2,6;0,9;0,9333;1,8333
21;04/06/2023;20:00;USA;MLS NEXT PRO;Huntsville;New York City II;9;9;1,7778;12;15;1,4;1,0;0,8;1,8
22;04/06/2023;21:00;ARUBA;DIVISION DI HONOR - RELEGATION - PLAY OFFS - FINAL;United FC;Santa Fe;14;15;2,2;13;15;2,3333;0,9333;0,8667;1,8
23;04/06/2023;06:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 11;Smorgon 2;Energetik-BGU 2;15;15;1,9333;12;15;1,6667;1,0;0,8;1,8
24;04/06/2023;12:00;SLOVAKIA;4. LIGA - WEST - ROUND 28;Imel;Gbely;14;15;1,4;13;15;1,2667;0,9333;0,8667;1,8
25;04/06/2023;12:00;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 29;Horice;Dobruska;15;15;2,2667;12;15;1,8;1,0;0,8;1,8
26;04/06/2023;06:00;AUSTRIA;BUNDESLIGA WOMEN - ROUND 18;Altenmarkt W;Wacker Innsbruck W;13;15;2,5333;14;15;3,1333;0,8667;0,9333;1,8
27;04/06/2023;11:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 8;Rana FK;Byasen;14;15;2,4667;13;15;1,9333;0,9333;0,8667;1,8
