Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25;placar
1;04/09/2023;08:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Swansea U21;Hull U21;70;21;43;20;3,3333;1,9599;2,15;1,4925;5,4833;0,42;1,39;2,31;2,98;0,89;0,96;8,95;85,09;4
2;04/09/2023;12:00;BOSNIA AND HERZEGOVINA;PRVA LIGA - RS - ROUND 4;BSK Banja Luka;Famos Vojkovici;20;22;15;22;0,9091;0,7329;0,6818;0,8194;1,5909;20,37;18,52;8,42;12,63;13,89;4,73;78,56;21,42;3
3;04/09/2023;13:00;NORWAY;DIVISION 2 - GROUP 1 - ROUND 18;Lyn;Arendal;70;20;48;21;3,5;1,9365;2,2857;2,1189;5,7857;0,31;1,07;1,88;2,46;0,7;0,8;7,22;85,39;7
4;04/09/2023;16:00;ENGLAND;LEAGUE ONE - ROUND 6;Cambridge Utd;Reading;26;22;15;20;1,1818;0,7158;0,75;0,9937;1,9318;14,49;17,12;10,12;12,84;10,87;4,08;69,52;30,45;0
5;04/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 33;Puerto Nuevo;Liniers;25;22;19;21;1,1364;1,0572;0,9048;0,9712;2,0412;12,99;14,76;8,38;13,36;11,75;5,32;66,56;33,41;0
6;04/09/2023;15:15;ARGENTINA;PRIMERA A WOMEN - CLAUSURA - ROUND 3;Rosario Central W;El Porvenir W;28;20;15;21;1,4;1,3565;0,7143;0,6999;2,1143;12,07;16,9;11,83;12,07;8,62;3,08;64,57;35,36;2
7;04/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 33;Deportivo Espanol;Berazategui;24;21;23;22;1,1429;0,833;1,0455;0,976;2,1884;11,21;12,81;7,32;13,4;11,72;6,13;62,59;37,37;4
8;04/09/2023;13:00;ISRAEL;LEUMIT LEAGUE - ROUND 2;Nes Tziona;Hapoel Umm al-Fahm;22;21;24;21;1,0476;1,3619;1,1429;1,1249;2,1905;11,19;11,72;6,14;13,4;12,79;7,31;62,55;37,44;2
9;04/09/2023;15:45;ITALY;SERIE C - GROUP A - ROUND 1;Triestina;Trento;21;21;28;23;1,0;1,2344;1,2174;0,9305;2,2174;10,89;10,89;5,44;13,26;13,26;8,07;61,81;38,14;0
10;04/09/2023;13:00;BURKINA FASO;PREMIER LEAGUE - ROUND 1;AS Douanes;Kozaf;32;21;16;22;1,5238;1,4349;0,7273;0,808;2,2511;10,53;16,04;12,22;11,67;7,66;2,78;60,9;38,96;6
11;04/09/2023;15:45;ITALY;SERIE C - GROUP A - ROUND 1;Alessandria;Novara;24;24;33;26;1,0;0,9574;1,2692;1,2877;2,2692;10,34;10,34;5,17;13,12;13,12;8,33;60,42;39,53;0
12;04/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 33;Claypole;Club Lujan;31;21;17;21;1,4762;1,2581;0,8095;0,8518;2,2857;10,17;15,01;11,08;12,15;8,23;3,33;59,97;39,92;1
13;04/09/2023;13:30;RUSSIA;FNL - ROUND 8;Rodina Moscow;Torpedo Moscow;34;25;16;17;1,36;1,0911;0,9412;0,8725;2,3012;10,02;13,62;9,26;12,82;9,43;4,44;59,59;40,36;2
14;04/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 4;Belgrano 2;Godoy Cruz 2;30;16;9;21;1,875;1,6154;0,4286;0,5832;2,3036;9,99;18,73;17,56;8,03;4,28;0,92;59,51;40,19;3
15;04/09/2023;15:00;ARGENTINA;PRIMERA NACIONAL - ROUND 32;Deportivo Moron;Def. de Belgrano;24;19;24;23;1,2632;0,7842;1,0435;1,0417;2,3067;9,96;12,58;7,95;13,13;10,39;5,42;59,43;40,52;5
16;04/09/2023;13:15;POLAND;DIVISION 2 - ROUND 7;Kotwica Kolobrzeg;Stezyca;28;22;23;22;1,2727;0,9621;1,0455;0,7674;2,3182;9,85;12,53;7,97;13,1;10,29;5,38;59,12;40,79;2
17;04/09/2023;15:30;PARAGUAY;DIVISION INTERMEDIA - ROUND 25;12 de Octubre;Pastoreo;19;22;32;22;0,8636;1,0994;1,4545;1,2332;2,3181;9,84;8,5;3,67;12,36;14,32;10,41;59,1;40,79;1
18;04/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 33;Laferrere;Excursionistas;27;20;20;20;1,35;1,1948;1,0;1,0;2,35;9,54;12,88;8,69;12,88;9,54;4,77;58,3;41,64;0
19;04/09/2023;08:30;CHINA;JIA LEAGUE - ROUND 21;Guangzhou FC;Heilongjiang Ice City;21;20;26;20;1,05;0,9206;1,3;0,9539;2,35;9,53;10,01;5,26;13,02;12,4;8,06;58,28;41,63;5
20;04/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 4;Argentinos Jrs 2;Banfield 2;33;22;19;22;1,5;1,118;0,8636;0,8684;2,3636;9,41;14,11;10,58;12,19;8,12;3,51;57,92;41,98;2
21;04/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 4;Arsenal Sarandi 2;River Plate 2;24;22;27;21;1,0909;1,1245;1,2857;1,1606;2,3766;9,29;10,13;5,53;13,02;11,94;7,68;57,59;42,33;1
22;04/09/2023;15:45;ITALY;SERIE C - GROUP A - ROUND 1;Fiorenzuola;Renate;19;22;34;22;0,8636;1,14;1,5455;1,1171;2,4091;8,99;7,76;3,35;12,0;13,89;10,73;56,72;43,16;0
23;04/09/2023;15:00;BOSNIA AND HERZEGOVINA;PREMIJER LIGA BIH - ROUND 6;Zrinjski;Siroki Brijeg;21;23;29;19;0,913;0,9284;1,5263;1,666;2,4393;8,72;7,96;3,64;12,15;13,31;10,16;55,94;43,94;2
24;04/09/2023;09:00;BHUTAN;PREMIER LEAGUE;Transport United;BFF Academy U19;21;23;29;19;0,913;0,9284;1,5263;1,666;2,4393;8,72;7,96;3,64;12,15;13,31;10,16;55,94;43,94;2
