Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
1;06/09/2023;22:30;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 6;Metapan;Municipal Limeno;28;20;14;21;1,5095;1,5667;3,0762;4,61;6,96;5,26;10,91;7,23;5,66;40,63;59,14
2;06/09/2023;22:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 2;Dep. Cali;Santa Fe;29;20;22;21;1,6536;1,5476;3,2012;4,07;6,73;5,57;10,42;6,3;4,88;37,97;61,77
3;06/09/2023;23:15;COSTA RICA;COPA COSTA RICA - QUARTER-FINALS;Saprissa;San Carlos;48;21;19;21;1,9762;1,381;3,3572;3,48;6,88;6,8;9,51;4,81;3,32;34,8;64,7
4;06/09/2023;23:00;USA;NWSL CHALLENGE CUP WOMEN - PLAY OFFS - SEMI-FINALS;Reign W;Racing Louisville W;36;21;17;20;1,5321;1,8976;3,4297;3,24;4,96;3,8;9,42;6,15;5,83;33,4;66,14
5;06/09/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 8;Cancun;Tlaxcala;25;24;15;20;1,3958;2,0417;3,4375;3,21;4,49;3,13;9,16;6,56;6,7;33,25;66,18
6;06/09/2023;22:00;EL SALVADOR;PRIMERA DIVISION - APERTURA - ROUND 6;Alianza FC;Platense Municipal;38;21;22;21;1,619;1,9524;3,5714;2,81;4,55;3,69;8,89;5,49;5,36;30,79;68,67
7;06/09/2023;23:00;USA;NISA;LA Force;Chattanooga;19;19;41;20;0,95;2,8395;3,7895;2,26;2,15;1,02;6,1;6,42;9,11;27,06;70,34
8;06/09/2023;22:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 9;Ad Aserri;Cariari Pococi;41;22;27;23;1,8449;2,3103;4,1552;1,57;2,89;2,67;6,68;3,62;4,19;21,62;77,15
9;06/09/2023;23:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 9;Cofutpa;Jaco;35;21;22;23;2,2246;2,0518;4,2764;1,39;3,09;3,44;6,34;2,85;2,92;20,03;78,67
10;06/09/2023;22:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 9;Club America W;U.A.N.L.- Tigres W;62;20;43;18;2,0222;3,0389;5,0611;0,63;1,28;1,3;3,9;1,93;2,93;11,97;84,01
