Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;pSum;avgSum
1;08/06/2023;21:00;USA;USL LEAGUE TWO;LA Parish;Louisiana;15;15;6,0667;14;15;4,3333;1,0;0,9333;1,9333;10,4
2;08/06/2023;21:00;USA;USL LEAGUE TWO;Davis Legacy;Project 51O;15;15;4,2;14;15;3,6667;1,0;0,9333;1,9333;7,8667
3;08/06/2023;23:00;SOUTH AMERICA;COPA SUDAMERICANA - GROUP STAGE - ROUND 5;Cesar Vallejo (Per);Magallanes (Chi);15;15;3,0;14;15;2,9333;1,0;0,9333;1,9333;5,9333
4;08/06/2023;13:00;WORLD;FRIENDLY INTERNATIONAL;Qatar;Croatia B;13;15;2,4;1;1;4,0;0,8667;1,0;1,8667;6,4
5;08/06/2023;09:00;KAZAKHSTAN;FIRST DIVISION - ROUND 11;Jas Qyran;FK Akzhayik;13;13;4,4615;13;15;4,3333;1,0;0,8667;1,8667;8,7948
6;08/06/2023;13:30;FINLAND;KAKKONEN GROUP B;Jazz Pori;Poxyt;14;15;4,3333;14;15;3,8667;0,9333;0,9333;1,8666;8,2
7;08/06/2023;21:00;SOUTH AMERICA;COPA LIBERTADORES - GROUP STAGE - ROUND 5;Flamengo RJ (Bra);Racing Club (Arg);13;15;3,1333;14;15;3,1333;0,8667;0,9333;1,8;6,2666
8;08/06/2023;16:15;ICELAND;DIVISION 1 - ROUND 6;Njardvik;Selfoss;14;15;3,6667;13;15;3,8667;0,9333;0,8667;1,8;7,5334
9;08/06/2023;12:30;FINLAND;YKKONEN;TPS;KaPa;13;15;2,8667;14;15;3,7333;0,8667;0,9333;1,8;6,6
10;08/06/2023;22:00;USA;USL LEAGUE TWO;New Mexico U23;Salt City;12;13;3,3077;13;15;3,6667;0,9231;0,8667;1,7898;6,9744
11;08/06/2023;20:00;BRAZIL;CAMPEONATO AMAPAENSE - ROUND 5;Oratorio;Sao Paulo AP;10;12;3,5833;14;15;4,0667;0,8333;0,9333;1,7666;7,65
