Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;08/08/2023;09:30;MALAWI;SUPER LEAGUE - ROUND 16;Mighty Tigers;Bangwe All Stars;26;30;11;15;0,8667;0,7333;1,6;1,6667;1,1643;2,0;1,2111;3,6667
2;08/08/2023;14:00;WORLD;CLUB FRIENDLY;UCAM Murcia (Esp);Melilla (Esp);22;30;23;30;0,7333;0,7667;1,5;2,1333;1,9619;1,6;1,2;3,7333
3;08/08/2023;19:00;BRAZIL;COPA PAULISTA - ROUND 6;Ponte Preta;Piracicaba;24;30;21;30;0,8;0,7;1,5;1,5333;1,0242;2,2;1,8511;3,7333
4;08/08/2023;21:00;NORTH & CENTRAL AMERICA;CONCACAF CENTRAL AMERICAN CUP - ROUND 2;Coban Imperial;Deportivo Universitario;25;30;20;30;0,8333;0,6667;1,5;1,5667;1,1743;2,2333;1,8382;3,8
5;08/08/2023;07:00;VIETNAM;V.LEAGUE 2 - ROUND 15;Binh Phuoc;Hoa Binh;18;30;14;16;0,6;0,875;1,475;2,5;1,7654;1,5625;1,5398;4,0625
6;08/08/2023;22:05;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 3;Tigres;Cucuta;25;30;19;30;0,8333;0,6333;1,4666;1,4;1,1136;2,2667;1,5478;3,6667
7;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Hull;Doncaster;21;30;20;30;0,7;0,6667;1,3667;2,2333;1,9093;2,2;1,6;4,4333
8;08/08/2023;12:00;SOUTH AFRICA;PREMIER LEAGUE - ROUND 2;Richards Bay;Golden Arrows;24;30;16;30;0,8;0,5333;1,3333;1,8333;1,4851;2,5333;1,7269;4,3666
9;08/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 16;Khatlon;Ravshan;19;30;20;30;0,6333;0,6667;1,3;2,1667;1,5723;2,1333;1,5217;4,3
10;08/08/2023;20:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 3;Quindio;Cortulua;21;30;18;30;0,7;0,6;1,3;2,0;1,4376;2,1333;1,4545;4,1333
11;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Stevenage;Watford;18;30;20;30;0,6;0,6667;1,2667;2,3333;1,3499;2,3333;1,3744;4,6666
12;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Forest Green;Portsmouth;17;30;21;30;0,5667;0,7;1,2667;2,5667;1,3828;2,1333;1,2841;4,7
13;08/08/2023;15:00;WORLD;CLUB FRIENDLY;Compostela (Esp);Celta Vigo (Esp);21;30;17;30;0,7;0,5667;1,2667;1,9667;1,4256;2,4;1,5188;4,3667
14;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Bolton;Barrow;19;30;19;30;0,6333;0,6333;1,2666;2,3667;1,6428;2,4;2,01;4,7667
15;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Blackburn;Walsall;17;30;20;30;0,5667;0,6667;1,2334;2,6667;2,0548;2,1333;1,7269;4,8
16;08/08/2023;19:00;SOUTH AMERICA;COPA LIBERTADORES - PLAY OFFS - 1/8-FINALS;Fluminense (Bra);Argentinos Jrs (Arg);19;30;18;30;0,6333;0,6;1,2333;2,4;1,4514;2,1667;1,8089;4,5667
17;08/08/2023;21:30;SOUTH AMERICA;COPA SUDAMERICANA - PLAY OFFS - 1/8-FINALS;Newells Old Boys (Arg);Corinthians (Bra);21;30;16;30;0,7;0,5333;1,2333;1,9333;1,2893;2,3;1,2949;4,2333
18;08/08/2023;12:30;ROMANIA;LIGA 2 - ROUND 1;Mioveni;Gloria Buzau;16;30;21;30;0,5333;0,7;1,2333;2,7667;1,9267;2,2333;1,7065;5,0
19;08/08/2023;09:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 16;CSKA Pomir Dushanbe;Khosilot Parkhar;21;30;16;30;0,7;0,5333;1,2333;2,1333;1,7269;2,6;1,7243;4,7333
20;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Millwall;Reading;18;30;18;30;0,6;0,6;1,2;2,3;1,6763;2,4667;1,384;4,7667
21;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;MK Dons;Wycombe;19;30;17;30;0,6333;0,5667;1,2;2,7;2,1779;2,3;1,1299;5,0
22;08/08/2023;12:00;TAJIKISTAN;VYSSHAYA LIGA - ROUND 16;Istiqlol Dushanbe;Regar-TadAZ;18;30;18;30;0,6;0,6;1,2;2,4667;1,5434;2,3333;1,6193;4,8
23;08/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 1;Academica;1º Dezembro;17;30;19;30;0,5667;0,6333;1,2;2,3667;1,4716;2,0667;1,34;4,4334
24;08/08/2023;14:30;WORLD;CLUB FRIENDLY;Torrellano (Esp);Yeclano (Esp);15;30;20;30;0,5;0,6667;1,1667;2,2333;1,6265;1,9667;1,402;4,2
25;08/08/2023;14:30;WORLD;CLUB FRIENDLY;Coruxo FC (Esp);Dep. La Coruna (Esp);18;30;17;30;0,6;0,5667;1,1667;2,2;1,3515;2,4667;1,9619;4,6667
26;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Sutton;Cambridge Utd;17;30;18;30;0,5667;0,6;1,1667;2,5;1,5221;2,3667;1,2512;4,8667
27;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Barnsley;Tranmere;12;30;23;30;0,4;0,7667;1,1667;3,2333;2,0442;2,1333;1,2037;5,3666
28;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Plymouth;Leyton Orient;14;30;21;30;0,4667;0,7;1,1667;2,9333;1,5902;2,1;1,1648;5,0333
29;08/08/2023;06:00;VIETNAM;V.LEAGUE 2 - ROUND 15;Phu Tho;Hue;17;30;18;30;0,5667;0,6;1,1667;2,5;1,1762;2,2;1,222;4,7
30;08/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 1;Trofense;Sanjoanense;17;30;18;30;0,5667;0,6;1,1667;2,1667;1,3437;2,1667;1,5293;4,3334
31;08/08/2023;13:30;SLOVAKIA;4. LIGA - BRATISLAVA - ROUND 1;MSK Senec;NSK 1922 Bratislava;20;30;14;30;0,6667;0,4667;1,1334;2,0;1,4606;2,8;1,6813;4,8
32;08/08/2023;16:00;WORLD;CLUB FRIENDLY;Monza (Ita);AC Milan (Ita);14;30;20;30;0,4667;0,6667;1,1334;3,2667;2,0966;2,5667;1,8918;5,8334
33;08/08/2023;19:00;SOUTH AMERICA;COPA SUDAMERICANA - PLAY OFFS - 1/8-FINALS;Fortaleza (Bra);Libertad Asuncion (Par);17;30;17;30;0,5667;0,5667;1,1334;2,5333;1,8571;2,4667;1,6275;5,0
34;08/08/2023;13:30;GERMANY;OBERLIGA BAYERN SÜD - ROUND 5;Ismaning;Erlbach;14;30;20;30;0,4667;0,6667;1,1334;2,9667;1,6829;2,2333;1,4533;5,2
35;08/08/2023;14:30;SOUTH AFRICA;PREMIER LEAGUE - ROUND 2;Orlando Pirates;Royal AM;16;30;18;30;0,5333;0,6;1,1333;2,3667;1,2512;2,3333;1,422;4,7
36;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Harrogate;Carlisle;15;30;19;30;0,5;0,6333;1,1333;2,7667;1,6469;2,3333;1,9551;5,1
37;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Port Vale;Fleetwood;16;30;18;30;0,5333;0,6;1,1333;2,6333;1,7026;2,3333;1,7951;4,9666
38;08/08/2023;15:30;ENGLAND;EFL CUP - 1/64-FINALS;Swansea;Northampton;14;30;19;30;0,4667;0,6333;1,1;2,8;1,6207;1,9667;1,1686;4,7667
39;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Gillingham;Southampton;19;30;14;30;0,6333;0,4667;1,1;2,2667;1,3646;3,0;2,0331;5,2667
40;08/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 1;AD Fafe;SC Vianense;17;30;16;30;0,5667;0,5333;1,1;2,5333;1,7461;2,2;1,6411;4,7333
41;08/08/2023;23:00;NORTH & CENTRAL AMERICA;LEAGUES CUP - PLAY OFFS - 1/8-FINALS;U.A.N.L.- Tigres;Monterrey;17;30;16;30;0,5667;0,5333;1,1;2,2667;1,5261;2,4;1,4283;4,6667
42;08/08/2023;16:30;PORTUGAL;LIGA 3 - ROUND 1;Caldas;Atletico CP;15;30;18;30;0,5;0,6;1,1;2,7667;1,5206;2,4;1,7814;5,1667
43;08/08/2023;08:00;VIETNAM;V.LEAGUE 2 - ROUND 15;Ba Ria Vung Tau;PVF-CAND;17;30;16;30;0,5667;0,5333;1,1;2,5;1,6882;2,6667;1,8679;5,1667
44;08/08/2023;14:00;PORTUGAL;LIGA 3 - ROUND 1;Lusitania FC;Felgueiras;15;30;17;30;0,5;0,5667;1,0667;2,5333;1,384;2,6333;1,4488;5,1666
45;08/08/2023;13:45;ISRAEL;TOTO CUP - ROUND 4;Maccabi Petah Tikva;Hapoel Jerusalem;12;30;20;30;0,4;0,6667;1,0667;2,8667;1,6479;2,1667;1,4395;5,0334
46;08/08/2023;13:30;WORLD;CLUB FRIENDLY;Les Herbiers (Fra);Lorient II (Fra);14;30;18;30;0,4667;0,6;1,0667;3,2667;1,8785;2,4;1,9596;5,6667
47;08/08/2023;15:45;ENGLAND;EFL CUP - 1/64-FINALS;Sheffield Wed;Stockport County;14;30;18;30;0,4667;0,6;1,0667;2,7333;1,7876;2,4;1,5188;5,1333
