Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgAvg;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
1;08/09/2023;04:00;ROMANIA;LIGA 1 WOMEN - ROUND 3;Politehnica Timisoara W;CSM Alexandria W;114;22;65;22;3,5909;1,8864;2,7386;0,42;1,5;2,7;2,83;0,79;0,74;8,98;83,46
2;08/09/2023;12:30;CZECH REPUBLIC;KARLOVARSKY KP - ROUND 4;Citice;Chodov;61;23;50;21;2,4451;3,0383;2,7417;0,42;1,02;1,24;3,09;1,26;1,92;8,95;86,28
3;08/09/2023;22:00;ARGENTINA;TORNEO FEDERAL - ROUND 29;Juventud Antoniana;Gimnasia y Tiro;22;20;12;22;1,0273;0,5977;0,8125;19,69;20,23;10,39;12,09;11,77;3,52;77,69;22,3
4;08/09/2023;13:00;BURKINA FASO;PREMIER LEAGUE - ROUND 2;Bobo-Dioulasso;Kadiogo;29;21;10;19;1,0326;0,6917;0,8622;17,83;18,41;9,51;12,74;12,33;4,27;75,09;24,86
5;08/09/2023;21:40;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 10;Dep. Pasto;Jaguares de Cordoba;26;22;9;21;1,2814;0,5325;0,9069;16,3;20,89;13,38;11,12;8,68;2,31;72,68;27,27
6;08/09/2023;10:30;DR CONGO;LIGUE 1 - ROUND 1;Sanga Balende;Don Bosco;24;22;18;22;1,0455;0,9091;0,9773;14,16;14,81;7,74;13,46;12,88;5,85;68,9;31,06
7;08/09/2023;14:30;FRANCE;NATIONAL - ROUND 5;Marignane;Nancy;19;22;22;20;1,0318;0,9364;0,9841;13,97;14,42;7,44;13,5;13,08;6,12;68,53;31,44
8;08/09/2023;11:30;SPAIN;TERCERA RFEF - GROUP 6 - ROUND 1;Villarreal C;Roda;33;20;15;22;1,1659;0,8159;0,9909;13,78;16,07;9,37;13,11;11,24;4,59;68,16;31,81
9;08/09/2023;15:45;ITALY;SERIE C - GROUP B - ROUND 2;Vis Pesaro;Olbia;11;19;23;21;0,8371;1,1529;0,995;13,67;11,44;4,79;13,19;15,76;9,08;67,93;32,0
10;08/09/2023;18:00;BRAZIL;SERIE B - ROUND 27;Ituano;Vila Nova FC;25;20;22;22;1,0114;1,0;1,0057;13,38;13,53;6,84;13,53;13,38;6,69;67,35;32,61
11;08/09/2023;16:00;ARGENTINA;TORNEO FEDERAL - ROUND 29;Sportivo Estudiantes;Club Sportivo Penarol;22;20;10;21;1,3833;0,6381;1,0107;13,25;18,32;12,67;11,69;8,45;2,7;67,08;32,84
12;08/09/2023;17:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 9;Fortaleza;Patriotas;39;21;14;21;1,3571;0,6905;1,0238;12,9;17,51;11,88;12,09;8,91;3,08;66,37;33,56
13;08/09/2023;11:30;SERBIA;PRVA LIGA - ROUND 6;Vrsac;Macva;28;24;20;21;1,1786;0,8929;1,0357;12,6;14,85;8,75;13,26;11,25;5,02;65,73;34,23
14;08/09/2023;20:30;ARGENTINA;TORNEO FEDERAL - ROUND 29;Union Sunchales;Sportivo Las Parejas;21;22;21;21;1,1439;0,9318;1,0379;12,55;14,35;8,21;13,37;11,69;5,45;65,62;34,37
15;08/09/2023;20:00;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 1;Uruguay;Chile;26;19;20;25;1,3842;0,7158;1,05;12,25;16,95;11,73;12,13;8,77;3,14;64,97;34,98
16;08/09/2023;16:00;WORLD;FRIENDLY INTERNATIONAL;Saudi Arabia;Costa Rica;32;25;16;22;1,3218;0,7836;1,0527;12,18;16,1;10,64;12,62;9,54;3,74;64,82;35,13
17;08/09/2023;06:00;WORLD;CLUB FRIENDLY;Ruch Chorzow;Piast Gliwice;33;23;28;23;1,0435;1,0652;1,0543;12,14;12,67;6,61;13,49;12,93;6,89;64,73;35,23
18;08/09/2023;16:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Mali;South Sudan;32;21;12;24;1,6994;0,4167;1,058;12,05;20,48;17,4;8,53;5,02;1,05;64,53;35,28
19;08/09/2023;14:00;SPAIN;TERCERA RFEF - GROUP 4 - ROUND 1;Urduliz;CD Vitoria;27;22;32;21;0,8994;1,2846;1,092;11,26;10,13;4,55;13,01;14,46;9,29;62,7;37,28
20;08/09/2023;13:00;EUROPE;EURO - QUALIFICATION - ROUND 5;Georgia;Spain;23;19;33;22;1,1053;1,0921;1,0987;11,11;12,28;6,79;13,41;12,13;6,63;62,35;37,63
21;08/09/2023;13:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Egypt;Ethiopia;36;22;17;17;1,5829;0,6364;1,1096;10,87;17,2;13,62;10,95;6,92;2,2;61,76;38,09
22;08/09/2023;06:00;CHINA;SUPER LEAGUE WOMEN - ROUND 16;Guangdong Meizhou W;Sichuan W;18;21;8;21;1,2857;0,9762;1,131;10,42;13,39;8,61;13,07;10,17;4,96;60,62;39,33
23;08/09/2023;15:00;CHILE;PRIMERA B - ROUND 26;S. Morning;D. Puerto Montt;22;20;23;22;1,1182;1,1477;1,133;10,37;11,6;6,49;13,31;11,91;6,83;60,51;39,44
24;08/09/2023;15:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Burkina Faso;Eswatini;33;24;23;22;1,392;0,8769;1,1345;10,34;14,4;10,02;12,62;9,07;3,98;60,43;39,49
25;08/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Cyprus;Scotland;12;19;24;21;0,9348;1,3346;1,1347;10,34;9,66;4,52;12,9;13,8;9,21;60,43;39,53
26;08/09/2023;18:00;CHILE;SEGUNDA DIVISION - ROUND 22;Arturo Fernandez Vial;D. Concepcion;20;21;22;22;1,2262;1,0476;1,1369;10,29;12,62;7,74;13,22;10,78;5,65;60,3;39,68
27;08/09/2023;14:00;FRANCE;NATIONAL 2 - GROUP B - ROUND 3;Les Herbiers;Angouleme CFC;41;24;16;23;1,202;1,077;1,1395;10,24;12,31;7,4;13,25;11,03;5,94;60,17;39,79
28;08/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 5;Colon Santa Fe 2;Instituto 2;23;21;10;15;1,281;1,0;1,1405;10,22;13,09;8,38;13,09;10,22;5,11;60,11;39,83
29;08/09/2023;23:00;CANADA;CANADIAN PREMIER LEAGUE;Pacific FC;HFX Wanderers;32;24;20;21;1,3095;0,9762;1,1429;10,17;13,32;8,72;13,0;9,93;4,85;59,99;39,95
30;08/09/2023;12:30;WORLD;CLUB FRIENDLY;Cracovia;Zaglebie Sosnowiec;30;24;20;18;1,3194;0,9722;1,1458;10,11;13,34;8,8;12,97;9,83;4,78;59,83;40,12
31;08/09/2023;08:35;CHINA;SUPER LEAGUE WOMEN - ROUND 16;Shaanxi Changan W;Changchun Dazhong W;7;16;41;22;0,696;1,6193;1,1577;9,87;6,87;2,39;11,13;15,99;12,94;59,19;40,66
32;08/09/2023;14:00;FRANCE;NATIONAL 2 - GROUP A - ROUND 3;Andrezieux;Le Puy-en-Velay;28;20;20;21;1,4619;0,8762;1,169;9,65;14,11;10,31;12,36;8,46;3,7;58,59;41,33
33;08/09/2023;14:30;POLAND;DIVISION 2 - ROUND 8;Chojniczanka;Skra;30;20;17;24;1,5208;0,8292;1,175;9,54;14,5;11,03;12,03;7,91;3,28;58,29;41,63
34;08/09/2023;14:00;FRANCE;NATIONAL 2 - GROUP B - ROUND 3;Bergerac;Trelissac;31;21;21;22;1,4881;0,882;1,1851;9,35;13,91;10,35;12,27;8,24;3,64;57,76;42,15
35;08/09/2023;15:30;EUROPE;EURO U21 - QUALIFICATION;Ireland U21;Turkey U21;32;19;18;19;1,5263;0,8684;1,1974;9,12;13,92;10,62;12,09;7,92;3,44;57,11;42,81
36;08/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 5;Slovakia;Portugal;22;21;34;19;0,8396;1,5614;1,2005;9,06;7,61;3,19;11,88;14,15;11,05;56,94;42,93
37;08/09/2023;11:00;EUROPE;EURO U21 - QUALIFICATION;Latvia U21;Italy U21;16;20;29;17;0,9294;1,4779;1,2037;9,01;8,37;3,89;12,37;13,31;9,84;56,79;43,13
38;08/09/2023;16:00;CHILE;SEGUNDA DIVISION - ROUND 22;Melipilla;Lautaro;26;22;20;20;1,3909;1,0227;1,2068;8,95;12,45;8,66;12,73;9,15;4,68;56,62;43,31
