Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;11/08/2023;14:00;SLOVAKIA;1. LIGA WOMEN - ROUND 1;Myjava W;Trencin W;29;30;30;30;0,9667;1,0;1,9667;2,9333;2,1281;2,3667;1,4488;5,3
2;11/08/2023;13:00;LATVIA;1. LIGA - ROUND 15;RFS 2;Tukums 2000 2;30;30;25;30;1,0;0,8333;1,8333;2,4667;1,147;1,6;1,0832;4,0667
3;11/08/2023;13:30;NORWAY;DIVISION 3 - GROUP 3 - ROUND 15;Stord;Bjarg;28;30;26;30;0,9333;0,8667;1,8;2,1667;1,4395;1,6333;1,016;3,8
4;11/08/2023;14:00;GERMANY;OBERLIGA BADEN-WÜRTTEMBERG - ROUND 2;Pforzheim;Goppinger SV;26;30;27;30;0,8667;0,9;1,7667;1,7333;1,2632;1,6333;1,0796;3,3666
5;11/08/2023;08:45;SINGAPORE;PREMIER LEAGUE;Tanjong Pagar;Albirex Niigata;29;30;24;30;0,9667;0,8;1,7667;2,1;1,2207;1,8;1,4922;3,9
6;11/08/2023;15:45;NORTHERN IRELAND;PREMIERSHIP WOMEN - ROUND 12;Mid-Ulster W;Cliftonville W;24;27;26;30;0,8889;0,8667;1,7556;2,0;1,6777;2,2667;1,8785;4,2667
7;11/08/2023;15:30;WALES;CYMRU SOUTH - ROUND 3;Goytre Utd;Trefelin;26;30;26;30;0,8667;0,8667;1,7334;2,1;1,3503;1,7333;1,2365;3,8333
8;11/08/2023;06:00;UKRAINE;PERSHA LIGA - ROUND 3;Kremin;Viktoria;27;30;25;30;0,9;0,8333;1,7333;1,8667;1,0873;1,2;0,9452;3,0667
9;11/08/2023;13:00;FINLAND;KAKKONEN GROUP B;Ilves-Kissat;Honka Akatemia;27;30;25;30;0,9;0,8333;1,7333;2,0333;1,2776;1,8667;1,2311;3,9
10;11/08/2023;13:00;CZECH REPUBLIC;USTECKY KP - ROUND 1;Modlany;Srbice;24;30;28;30;0,8;0,9333;1,7333;1,4333;1,0858;2,0333;1,3287;3,4666
11;11/08/2023;11:30;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 22;Din. Minsk W;Vitebsk W;27;30;25;30;0,9;0,8333;1,7333;3,3667;2,5362;2,1667;1,7717;5,5334
12;11/08/2023;15:45;NORTHERN IRELAND;NIFL CHAMPIONSHIP - ROUND 2;Bangor FC;Ards;28;30;24;30;0,9333;0,8;1,7333;1,8667;1,4079;1,6;1,1719;3,4667
13;11/08/2023;13:00;CZECH REPUBLIC;ZLINSKY KP - ROUND 2;Luhacovice;Francova Lhota;24;30;24;26;0,8;0,9231;1,7231;1,3667;0,9481;2,1154;1,0498;3,4821
