Nº;ID;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
1;zVxJsivh;12/09/2023;18:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 10;Cartagena;Tigres;32;21;8;21;1,2619;0,7619;2,0238;13,22;16,68;10,52;12,71;10,07;3,84;67,04;32,93
2;nHhNCji0;12/09/2023;15:00;PERU;LIGA 2 - ROUND 24;Deportivo Coopsol;Pirata;21;21;12;21;1,5238;0,6667;2,1905;11,19;17,05;12,99;11,36;7,46;2,49;62,54;37,37
3;MkmmQGyh;12/09/2023;21:00;ECUADOR;SERIE B - ROUND 30;Macara;Ind. Juniors;30;21;15;20;1,4143;0,8036;2,2179;10,88;15,39;10,89;12,37;8,75;3,51;61,79;38,12
4;zRWWoau9;12/09/2023;14:00;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 12;Juventud Unida S. M.;Central Ballester;27;22;8;22;1,3864;0,8864;2,2727;10,3;14,28;9,9;12,66;9,13;4,05;60,32;39,63
5;rRWeihva;12/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;Bulgaria U21;Israel U21;26;21;26;24;1,3065;0,9702;2,2768;10,26;13,41;8,76;13,01;9,96;4,83;60,23;39,73
6;dvWtqHV9;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Sweden;Austria;43;26;24;21;1,3507;0,956;2,3068;9,96;13,45;9,08;12,86;9,52;4,55;59,42;40,5
7;lAMr18JG;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Kettering;Needham Market;23;20;23;23;1,4228;0,925;2,3478;9,56;13,6;9,67;12,58;8,84;4,09;58,34;41,57
8;Mka9It4m;12/09/2023;19:00;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 2;Venezuela;Paraguay;27;20;20;28;1,425;0,9321;2,3571;9,47;13,49;9,61;12,58;8,83;4,11;58,09;41,82
9;fqiQg4im;12/09/2023;16:00;AFRICA;AFRICA CUP OF NATIONS - QUALIFICATION - ROUND 6;Cameroon;Burundi;28;21;25;25;1,5067;0,8571;2,3638;9,41;14,17;10,68;12,15;8,06;3,46;57,93;41,98
10;ra05JMls;12/09/2023;23:00;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 2;Peru;Brazil;24;18;25;15;1,0333;1,3333;2,3667;9,38;9,69;5,01;12,92;12,51;8,34;57,85;42,12
11;UF2HGKYa;12/09/2023;21:30;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 2;Chile;Colombia;25;17;22;20;1,3353;1,05;2,3853;9,21;12,29;8,21;12,91;9,67;5,07;57,36;42,59
12;CvhMFvl6;12/09/2023;18:00;SOUTH AMERICA;WORLD CHAMPIONSHIP - QUALIFICATION - ROUND 2;Ecuador;Uruguay;30;18;30;23;1,3986;1,0133;2,4118;8,97;12,54;8,77;12,7;9,08;4,6;56,66;43,26
13;xAHNCpln;12/09/2023;15:00;EUROPE;EURO U21 - QUALIFICATION;Serbia U21;Azerbaijan U21;24;22;14;20;1,6205;0,85;2,4705;8,45;13,7;11,1;11,65;7,19;3,05;55,14;44,71
14;0lnOZ6gk;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Romania;Kosovo;28;21;17;18;1,5;1,0437;2,5437;7,86;11,79;8,84;12,3;8,2;4,28;53,27;46,62
15;K6rbayA5;12/09/2023;09:00;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;Vietnam U23;Singapore U23;49;27;26;23;1,7118;0,8615;2,5733;7,63;13,06;11,18;11,25;6,57;2,83;52,52;47,29
16;b9e51MJM;12/09/2023;19:00;CANADA;CANADIAN PREMIER LEAGUE;HFX Wanderers;Cavalry;27;22;26;21;1,3279;1,2554;2,5833;7,55;10,03;6,66;12,59;9,48;5,95;52,26;47,7
17;UNf5I9li;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Stourbridge;Halesowen;32;21;30;22;1,2846;1,3009;2,5855;7,54;9,68;6,22;12,59;9,8;6,38;52,21;47,72
18;AZRSAwyk;12/09/2023;13:00;EUROPE;EURO U21 - QUALIFICATION;Moldova U21;Georgia U21;15;19;26;19;1,1579;1,4474;2,6053;7,39;8,55;4,95;12,38;10,69;7,74;51,7;48,16
19;IqRn0SYM;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE CENTRAL DIVISION - ROUND 8;Leamington;Berkhamsted;22;22;25;22;1,5455;1,0909;2,6364;7,16;11,07;8,55;12,07;7,81;4,26;50,92;48,94
20;ANcdZqqQ;12/09/2023;12:00;EUROPE;EURO U21 - QUALIFICATION;Lithuania U21;Wales U21;22;24;33;24;1,3333;1,3125;2,6458;7,09;9,46;6,31;12,42;9,31;6,11;50,7;49,21
21;xMRdgxMI;12/09/2023;16:30;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 2;French Guiana;Belize;39;20;10;22;1,9977;0,6523;2,65;7,07;14,11;14,1;9,21;4,61;1,5;50,6;48,94
22;4OcnrZre;12/09/2023;14:00;EUROPE;EURO U21 - QUALIFICATION;Andorra U21;Greece U21;11;21;30;22;0,8983;1,7532;2,6515;7,05;6,34;2,85;11,11;12,37;10,84;50,56;49,19
23;noMlL7vd;12/09/2023;15:45;EUROPE;EURO - QUALIFICATION - ROUND 6;Switzerland;Andorra;41;21;12;20;1,9762;0,681;2,6571;7,01;13,86;13,7;9,44;4,78;1,63;50,42;49,14
24;MoDjbY94;12/09/2023;05:00;ROMANIA;LIGA 2 - ROUND 1;Progresul Spartac;CSC Dumbravita;18;19;37;26;1,1275;1,5536;2,6812;6,85;7,72;4,35;12,0;10,64;8,27;49,83;50,03
25;lQQW9cje;12/09/2023;10:30;EUROPE;EURO U21 - QUALIFICATION;North Macedonia U21;Netherlands U21;30;21;47;20;1,0143;1,675;2,6893;6,79;6,89;3,49;11,54;11,38;9,53;49,62;50,22
26;fZgQJ2ik;12/09/2023;06:30;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;Bangladesh U23;Philippines U23;10;15;19;20;1,5583;1,175;2,7333;6,5;10,13;7,89;11,9;7,64;4,49;48,55;51,31
27;foCSB43h;12/09/2023;13:30;EUROPE;EURO U21 - QUALIFICATION;Ukraine U21;Northern Ireland U21;40;22;22;23;1,7352;1,0237;2,7589;6,34;10,99;9,54;11,26;6,49;3,32;47,94;51,86
28;WtO7zDn5;12/09/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 6;Rosario Central 2;Gimnasia L.P. 2;37;20;18;22;1,8114;0,9591;2,7705;6,26;11,35;10,28;10,88;6,01;2,88;47,66;52,07
29;2mTHyDfG;12/09/2023;23:10;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE A - ROUND 2;Honduras;Grenada;23;18;15;19;1,6915;1,0892;2,7807;6,2;10,49;8,87;11,42;6,75;3,68;47,41;52,35
30;SCNTKrxq;12/09/2023;10:30;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;Thailand U23;Malaysia U23;44;23;27;19;1,6407;1,1453;2,786;6,17;10,12;8,3;11,59;7,06;4,04;47,28;52,55
31;l0FmAhON;12/09/2023;11:00;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;Uzbekistan U23;Iran U23;52;24;32;26;1,6795;1,1154;2,7949;6,11;10,27;8,62;11,45;6,82;3,8;47,07;52,73
