Nº;ID;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;ljbCwR88;18/09/2023;20:30;ARGENTINA;TORNEO FEDERAL - ROUND 31;Sportivo Belgrano;Independiente Chivilcoy;16;20;18;20;0,8;0,9;1,7;2,05;1,0235;1,5;0,9747;3,55
2;UmvqePOp;18/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 3;Taranto;ACR Messina;18;20;15;20;0,9;0,75;1,65;1,0;1,1402;1,7;1,2689;2,7
3;48BSryMj;18/09/2023;15:30;ARGENTINA;PRIMERA C - ROUND 35;Leandro N. Alem;Central Cordoba;15;20;16;20;0,75;0,8;1,55;1,7;1,3077;1,75;1,3739;3,45
4;vT44fPzS;18/09/2023;11:30;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - FINAL;Al Ahly Benghazi;ASEC Mimosas;12;20;18;20;0,6;0,9;1,5;2,55;2,3974;1,3;1,0536;3,85
5;djbVK97H;18/09/2023;10:35;OMAN;PROFESSIONAL LEAGUE - ROUND 4;Ibri;Al Nasr;10;15;16;20;0,6667;0,8;1,4667;2,0;1,1547;1,35;1,0137;3,35
6;0EZkq3Z8;18/09/2023;20:30;BRAZIL;COPA SANTA CATARINA - ROUND 3;Inter de Lages;Avai;14;20;15;20;0,7;0,75;1,45;2,2;1,99;1,9;1,4107;4,1
7;6edCDhuN;18/09/2023;20:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - ROUND 5;Lanus;Sarmiento Junin;12;20;17;20;0,6;0,85;1,45;2,25;1,1347;1,55;1,2031;3,8
8;MN4Kxe2e;18/09/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 13;Sportivo Barracas;Juventud Unida S. M.;15;20;13;20;0,75;0,65;1,4;1,35;1,3519;2,05;1,1169;3,4
9;vRspRr15;18/09/2023;10:15;ROMANIA;LIGA 2 - ROUND 6;FC Arges;Unirea Dej;12;20;15;20;0,6;0,75;1,35;2,5;1,8028;2,1;2,0952;4,6
10;CAE1Jrvf;18/09/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 12;Envigado;Jaguares de Cordoba;13;20;14;20;0,65;0,7;1,35;1,8;1,4;1,9;0,995;3,7
11;bDX20nrH;18/09/2023;09:30;MALAWI;SUPER LEAGUE;Blue Eagles;Ekwendeni Hammers;13;20;13;20;0,65;0,65;1,3;2,0;1,3038;2,1;1,578;4,1
12;b38721g5;18/09/2023;20:15;PARAGUAY;DIVISION INTERMEDIA - ROUND 27;Rubio Nu;Pastoreo;12;20;14;20;0,6;0,7;1,3;2,35;1,3883;2,3;1,4866;4,65
13;0ddRbR3E;18/09/2023;21:00;BRAZIL;SERIE B - ROUND 28;Novorizontino;Ceara;12;20;13;20;0,6;0,65;1,25;2,0;1,0954;2,1;1,261;4,1
14;GKnS9nd3;18/09/2023;16:00;SPAIN;LALIGA2 - ROUND 6;Andorra;R. Oviedo;11;20;14;20;0,55;0,7;1,25;2,55;2,1089;2,05;1,2835;4,6
15;2yPRPp1Q;18/09/2023;20:40;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 12;Bucaramanga;Pereira;11;20;14;20;0,55;0,7;1,25;2,0;1,2649;1,85;1,3143;3,85
16;W44C3lWN;18/09/2023;13:30;ALBANIA;SUPERLIGA - ROUND 4;Partizani;Egnatia;12;20;13;20;0,6;0,65;1,25;2,3;1,3077;2,8;2,2935;5,1
17;rVOOKu9f;18/09/2023;12:00;GREECE;SUPER LEAGUE - ROUND 4;Atromitos;Volos;15;20;9;20;0,75;0,45;1,2;2,2;1,077;2,95;1,5961;5,15
18;CdZS4qP0;18/09/2023;22:50;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 12;Ind. Medellin;Millonarios;13;20;11;20;0,65;0,55;1,2;2,2;1,3638;2,0;1,6432;4,2
19;K2SwERK1;18/09/2023;13:00;BULGARIA;VTORA LIGA - ROUND 9;Litex Lovech;CSKA 1948 Sofia II;13;20;11;20;0,65;0,55;1,2;2,45;1,4654;2,2;1,3638;4,65
20;zscZJTMN;18/09/2023;10:40;OMAN;PROFESSIONAL LEAGUE - ROUND 4;Dhofar;Bahla;12;20;12;20;0,6;0,6;1,2;2,15;1,711;2,5;1,9365;4,65
21;WrmEsK6O;18/09/2023;10:00;RWANDA;PREMIER LEAGUE - ROUND 4;Gorilla;AS Kigali;12;20;12;20;0,6;0,6;1,2;2,2;1,7493;2,0;1,1832;4,2
22;KW9vclzA;18/09/2023;15:30;ARGENTINA;PRIMERA B - CLAUSURA - ROUND 14;Argentino de Quilmes;San Miguel;13;20;11;20;0,65;0,55;1,2;1,95;1,0235;2,1;1,3379;4,05
23;MLsiTlBd;18/09/2023;12:30;RUSSIA;FNL - ROUND 10;Dynamo Makhachkala;Alania Vladikavkaz;13;20;11;20;0,65;0,55;1,2;2,05;1,0235;2,3;1,5843;4,35
24;AaRADXvC;18/09/2023;15:45;ITALY;SERIE C - GROUP C - ROUND 3;Monterosi;Latina;13;20;11;20;0,65;0,55;1,2;2,1;1,4457;2,35;2,0803;4,45
25;I3ukwNXh;18/09/2023;13:00;EGYPT;PREMIER LEAGUE - ROUND 1;El Gaish;National Bank Egypt;14;20;10;20;0,7;0,5;1,2;2,05;1,5644;2,3;1,4526;4,35
26;IwE6kQv3;18/09/2023;21:00;ECUADOR;LIGA PRO - SECOND STAGE - ROUND 21;Gualaceo;Cumbaya;10;20;14;20;0,5;0,7;1,2;2,6;1,8547;1,95;1,4309;4,55
27;6e8wgSOS;18/09/2023;14:00;POLAND;EKSTRAKLASA - ROUND 8;Stal Mielec;Zaglebie;11;20;12;20;0,55;0,6;1,15;2,65;1,8782;2,45;1,4654;5,1
28;vV1h1egA;18/09/2023;15:30;ITALY;SERIE B - ROUND 5;Sampdoria;Cittadella;10;20;13;20;0,5;0,65;1,15;2,95;1,4309;2,25;1,5772;5,2
29;xUcFylJf;18/09/2023;11:30;BULGARIA;PARVA LIGA - ROUND 9;Hebar;Pirin Blagoevgrad;11;20;12;20;0,55;0,6;1,15;2,55;1,7741;2,3;1,1874;4,85
30;QkS9MSWb;18/09/2023;14:30;ISRAEL;LIGAT HA'AL - ROUND 3;H. Beer Sheva;Hapoel Tel Aviv;11;20;12;20;0,55;0,6;1,15;2,45;1,5961;2,05;1,1608;4,5
31;SQAGUoUt;18/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Bradford PA;Blyth;14;20;9;20;0,7;0,45;1,15;2,3;1,3077;2,85;1,6815;5,15
32;KCZMQQoK;18/09/2023;18:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 12;U. Magdalena;Once Caldas;13;20;10;20;0,65;0,5;1,15;2,1;1,8682;2,4;1,3928;4,5
33;C4qIwDne;18/09/2023;21:10;ARGENTINA;PRIMERA NACIONAL - ROUND 30;Ferro;Tristan Suarez;10;20;13;20;0,5;0,65;1,15;2,55;1,5644;2,25;1,7854;4,8
34;466u2aZ7;18/09/2023;15:45;ENGLAND;FA CUP - QUALIFICATION - QUARTER-FINALS;Redditch;Peterborough Sports;9;20;14;20;0,45;0,7;1,15;3,15;2,0316;1,85;1,0618;5,0
35;fNFlTBys;18/09/2023;15:00;PERU;LIGA 2 - ROUND 25;U. San Martin;Deportivo Coopsol;10;20;13;20;0,5;0,65;1,15;2,65;1,3519;2,2;1,2884;4,85
36;ANiYuhJE;18/09/2023;13:15;FRANCE;NATIONAL - ROUND 6;Nancy;Dijon;9;20;14;20;0,45;0,7;1,15;2,7;1,6462;2,35;1,5256;5,05
37;G8pPAexm;18/09/2023;13:30;ITALY;SERIE A - ROUND 4;Salernitana;Torino;10;20;13;20;0,5;0,65;1,15;2,9;1,578;2,05;1,244;4,95
38;zDgff6tn;18/09/2023;22:00;NICARAGUA;LIGA PRIMERA - APERTURA - ROUND 9;Esteli;Matagalpa;12;20;10;20;0,6;0,5;1,1;2,45;1,5961;2,25;1,2196;4,7
39;QqTzDrG4;18/09/2023;12:30;ROMANIA;LIGA 1 - ROUND 9;Poli Iasi;FC Botosani;10;20;12;20;0,5;0,6;1,1;2,75;1,6993;2,3;1,6462;5,05
40;pWd2dloG;18/09/2023;14:00;TURKEY;1. LIG - ROUND 5;Sakaryaspor;Bodrumspor;11;20;11;20;0,55;0,55;1,1;2,45;1,3219;2,35;1,4239;4,8
41;n5MY8C9g;18/09/2023;13:00;ASIA;AFC CHAMPIONS LEAGUE - ROUND 1;Al Quwa Al Jawiya;Sepahan;11;20;11;20;0,55;0,55;1,1;2,75;2,2555;2,75;1,5124;5,5
