Nº;Date;Time;Country;League;Home;Away;jogosHome;totalHome;jogosAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;22/08/2023;15:30;ARGENTINA;PRIMERA D - SECOND STAGE - ROUND 11;Deportivo Paraguayo;Central Ballester;17;20;17;20;0,85;0,85;1,7;1,65;1,1948;1,45;0,9206;3,1
2;22/08/2023;22:00;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 6;Quindio;Real Santander;13;20;17;20;0,65;0,85;1,5;2,25;1,5452;1,65;1,0618;3,9
3;22/08/2023;21:30;BRAZIL;SERIE B - ROUND 25;Criciuma;Vila Nova FC;13;20;16;20;0,65;0,8;1,45;1,9;1,044;1,6;1,0198;3,5
4;22/08/2023;21:00;ECUADOR;SERIE B - ROUND 26;Ind. Juniors;Manta;14;20;14;20;0,7;0,7;1,4;1,75;1,6696;2,1;0,9434;3,85
5;22/08/2023;13:00;ROMANIA;LIGA 2 - ROUND 3;Chindia Targoviste;Gloria Buzau;13;20;14;20;0,65;0,7;1,35;2,15;1,3519;2,15;1,7965;4,3
6;22/08/2023;19:00;BRAZIL;SERIE B - ROUND 25;Mirassol;Juventude;13;20;13;20;0,65;0,65;1,3;2,2;1,249;1,95;1,2031;4,15
7;22/08/2023;15:45;ENGLAND;NPL PREMIER DIVISION - ROUND 4;Basford;Stafford;12;20;13;20;0,6;0,65;1,25;2,15;1,3883;2,3;1,5199;4,45
8;22/08/2023;07:30;ASIA;AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL;Incheon (Kor);Hai Phong (Vie);12;20;13;20;0,6;0,65;1,25;2,35;1,4239;2,2;1,4;4,55
9;22/08/2023;10:00;TANZANIA;LIGI KUU BARA - ROUND 1;Singida Fountain Gate;Tanzania Prisons;13;20;11;20;0,65;0,55;1,2;2,3;1,005;2,55;2,0118;4,85
10;22/08/2023;11:00;ASIA;AFC CUP - QUALIFICATION - PLAY OFFS - FINAL;Al-Ittihad (Syr);Al Khaleel (Pal);15;20;9;20;0,75;0,45;1,2;1,55;1,2835;2,7;1,382;4,25
11;22/08/2023;14:00;PORTUGAL;LIGA REVELACAO U23 - ROUND 3;Braga U23;Rio Ave U23;11;20;13;20;0,55;0,65;1,2;2,35;1,558;2,25;1,337;4,6
12;22/08/2023;07:00;SOUTH KOREA;WK LEAGUE WOMEN - ROUND 19;Hwacheon W;Gyeongju W;10;20;14;20;0,5;0,7;1,2;2,4;1,4283;1,8;1,1662;4,2
