Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
1;24/05/2023;16:00;ENGLAND;PREMIER LEAGUE - ROUND 32;Brighton;Manchester City;31;43;1,5116;34;43;1,3953;0,7209;0,7907;1,5116;0,57
2;24/05/2023;14:30;SPAIN;LALIGA - ROUND 36;Elche;Sevilla;36;43;1,3953;26;43;0,9767;0,8372;0,6047;1,4419;0,5063
3;24/05/2023;14:30;SPAIN;LALIGA - ROUND 36;Real Madrid;Rayo Vallecano;29;43;1,3256;28;43;1,1628;0,6744;0,6512;1,3256;0,4392
4;24/05/2023;14:30;SPAIN;LALIGA - ROUND 36;Villarreal;Cadiz CF;30;43;1,3023;24;43;0,907;0,6977;0,5581;1,2558;0,3894
5;24/05/2023;17:00;SPAIN;LALIGA - ROUND 36;Betis;Getafe;23;43;1,0698;29;43;0,9767;0,5349;0,6744;1,2093;0,3607
6;24/05/2023;17:00;SPAIN;LALIGA - ROUND 36;Espanyol;Atl. Madrid;29;43;1,093;29;43;1,093;0,6744;0,6744;1,3488;0,4548
7;24/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 2;Italy U20;Nigeria U20;33;43;1,6977;25;37;1,2162;0,7674;0,6757;1,4431;0,5185
8;24/05/2023;15:00;WORLD;WORLD CUP U20 - ROUND 2;Senegal U20;Israel U20;33;42;1,381;1;3;0,6667;0,7857;0,3333;1,119;0,2619
9;24/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 2;Brazil U20;Dominican Republic U20;26;43;1,1163;19;22;2,2273;0,6047;0,8636;1,4683;0,5222
10;24/05/2023;18:00;WORLD;WORLD CUP U20 - ROUND 2;Japan U20;Colombia U20;27;38;1,0789;30;43;1,2326;0,7105;0,6977;1,4082;0,4957
11;24/05/2023;14:00;ARGENTINA;COPA ARGENTINA - 1/32-FINALS;Central Cordoba;Comunicaciones;24;43;0,814;29;43;1,1628;0,5581;0,6744;1,2325;0,3764
12;24/05/2023;16:00;ARGENTINA;COPA ARGENTINA - 1/32-FINALS;Rosario Central;Central Norte;33;43;1,186;30;43;1,1395;0,7674;0,6977;1,4651;0,5354
13;24/05/2023;07:00;AUSTRALIA;NPL NORTHERN NSW - ROUND 7;Broadmeadow;New Lambton;35;43;1,5349;9;11;1,6364;0,814;0,8182;1,6322;0,666
