Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
1;24/08/2023;17:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 6;Real Soacha;Tigres;25;22;7;21;1,1364;1,2539;0,3333;0,5634;1,4697;23,0;7,67;1,28;8,71;26,14;14,85;81,65
2;24/08/2023;21:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 6;Leones;Orsomarso;19;21;14;21;0,9048;0,7499;0,6667;0,7766;1,5715;20,77;13,85;4,62;12,53;18,8;8,5;79,07
3;24/08/2023;15:30;WORLD;CLUB FRIENDLY;San Roque;Bollullos;19;20;10;15;0,95;0,8047;0,6667;1,075;1,6167;19,85;13,24;4,41;12,58;18,86;8,96;77,9
4;24/08/2023;17:30;COLOMBIA;PRIMERA B - CLAUSURA - ROUND 6;Boca Juniors;Patriotas;20;22;15;21;0,9091;0,7925;0,7143;0,7649;1,6234;19,72;14,09;5,03;12,81;17,93;8,15;77,73
5;24/08/2023;11:30;DR CONGO;LIGUE 1 - ROUND 3;AC Rangers;Renaissance;25;25;14;19;1,0;0,8485;0,7368;0,6359;1,7368;17,61;12,98;4,78;12,98;17,61;8,8;74,76
6;24/08/2023;14:15;WORLD;CLUB FRIENDLY;Calahorra;Valle Egues;17;23;23;22;0,7391;0,7922;1,0455;0,8779;1,7846;16,78;17,55;9,17;12,97;12,41;4,58;73,46
7;24/08/2023;17:15;PERU;LIGA 2 - ROUND 21;Union Huaral;Santos;24;22;16;22;1,0909;0,7329;0,7273;0,7497;1,8182;16,23;11,8;4,29;12,88;17,7;9,66;72,56
8;24/08/2023;18:00;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 7;Chico;Huila;27;21;13;21;1,2857;0,9331;0,619;0,5754;1,9047;14,89;9,22;2,85;11,85;19,14;12,3;70,25
9;24/08/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 3;Al Ettifaq;Al Khaleej;25;19;15;23;1,3158;1,2588;0,6522;1,1271;1,968;13,98;9,11;2,97;11,99;18,39;12,1;68,54
10;24/08/2023;15:30;JORDAN;PREMIER LEAGUE - ROUND 4;Maan;Al Hussein;16;22;28;21;0,7273;0,7497;1,3333;1,2848;2,0606;12,74;16,98;11,32;12,35;9,26;3,37;66,02
11;24/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 2;Union de Santa Fe 2;Estudiantes L.P. 2;34;22;12;22;1,5455;1,2332;0,5455;0,7216;2,091;12,36;6,74;1,84;10,42;19,1;14,76;65,22
12;24/08/2023;13:00;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 3;Persepolis;Zob Ahan;32;21;13;22;1,5238;1,4013;0,5909;0,7173;2,1147;12,07;7,13;2,11;10,87;18,39;14,01;64,58
13;24/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 2;Racing Club 2;Tigre 2;27;21;18;20;1,2857;1,1188;0,9;0,8888;2,1857;11,24;10,12;4,55;13,0;14,45;9,29;62,65
14;24/08/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 25;Aurora;Tomayapo;29;21;18;21;1,381;1,3265;0,8571;0,7737;2,2381;10,67;9,14;3,92;12,62;14,73;10,17;61,25
15;24/08/2023;22:30;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 7;Dep. Cali;Millonarios;26;19;20;22;1,3684;1,346;0,9091;0,7925;2,2775;10,25;9,32;4,24;12,76;14,03;9,6;60,2
16;24/08/2023;13:00;WORLD;CLUB FRIENDLY;Gozzano;Novara;22;22;32;25;1,0;1,0871;1,28;1,2496;2,28;10,23;13,09;8,38;13,09;10,23;5,11;60,13
17;24/08/2023;14:30;WORLD;FRIENDLY INTERNATIONAL;Montenegro U19;Bosnia & Herzegovina U19;15;15;36;28;1,0;1,0954;1,2857;1,0643;2,2857;10,17;13,08;8,41;13,08;10,17;5,08;59,99
18;24/08/2023;21:30;BOLIVIA;DIVISION PROFESIONAL - ROUND 25;Blooming;Santa Cruz;38;23;14;22;1,6522;1,2721;0,6364;0,71;2,2886;10,14;6,45;2,05;10,66;16,75;13,84;59,89
19;24/08/2023;12:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 3;Al Taee;Al Wehda;33;21;17;23;1,5714;0,9548;0,7391;0,8953;2,3105;9,92;7,33;2,71;11,53;15,59;12,25;59,33
20;24/08/2023;22:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 6;Atl. Morelia;Dorados de Sinaloa;35;23;17;21;1,5217;1,0159;0,8095;0,9571;2,3312;9,72;7,87;3,18;11,97;14,79;11,25;58,78
21;24/08/2023;20:05;MEXICO;LIGA DE EXPANSION MX - APERTURA - ROUND 6;Tapatio;Tlaxcala;32;20;15;20;1,6;1,1136;0,75;0,7665;2,35;9,54;7,15;2,68;11,44;15,26;12,21;58,28
22;24/08/2023;12:00;SLOVENIA;3. SNL - EAST - ROUND 1;Krsko;NK Smartno;22;21;29;22;1,0476;0,9989;1,3182;1,1032;2,3658;9,39;12,38;8,16;12,97;9,83;5,15;57,88
23;24/08/2023;14:30;WORLD;CLUB FRIENDLY;Gimnastica Segoviana;Zamora;30;21;20;21;1,4286;1,2563;0,9524;0,8985;2,381;9,25;8,81;4,19;12,58;13,21;9,43;57,47
24;24/08/2023;11:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 23;Martin Ledesma;Pastoreo;20;20;31;22;1,0;1,0954;1,4091;1,2306;2,4091;8,99;12,67;8,93;12,67;8,99;4,49;56,74
25;24/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 2;Gimnasia L.P. 2;Colon Santa Fe 2;33;22;20;22;1,5;1,3056;0,9091;0,668;2,4091;8,99;8,17;3,71;12,26;13,49;10,11;56,73
26;24/08/2023;13:30;IRAN;PERSIAN GULF PRO LEAGUE - ROUND 3;Nassaji Mazandaran;Gol Gohar;26;22;27;22;1,1818;1,0718;1,2273;1,1254;2,4091;8,99;11,03;6,77;13,04;10,62;6,28;56,73
27;24/08/2023;13:00;JORDAN;PREMIER LEAGUE - ROUND 4;Al Ramtha;Shabab Al Ordon;25;21;27;22;1,1905;1,2581;1,2273;1,2035;2,4178;8,91;10,94;6,71;13,02;10,61;6,32;56,51
28;24/08/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 1;Ironi Tiberias;Nes Tziona;28;19;21;21;1,4737;1,4279;1,0;0,9258;2,4737;8,43;8,43;4,21;12,42;12,42;9,15;55,06
29;24/08/2023;14:00;WORLD;CLUB FRIENDLY;Babelsberg;Mahlsdorf;22;19;25;19;1,1579;1,0394;1,3158;1,0287;2,4737;8,43;11,09;7,29;12,84;9,76;5,65;55,06
30;24/08/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 1;MS Kafr Qasim;Ramat Hasharon;26;19;26;22;1,3684;1,4586;1,1818;1,1923;2,5502;7,81;9,23;5,45;12,63;10,68;7,31;53,11
31;24/08/2023;06:00;WORLD;FRIENDLY INTERNATIONAL;Wales U17;Georgia U17;19;15;35;27;1,2667;0,9978;1,2963;1,7388;2,563;7,71;9,99;6,48;12,66;9,76;6,18;52,78
32;24/08/2023;15:30;WORLD;CLUB FRIENDLY;Rimini;United Riccione;31;21;23;21;1,4762;1,2196;1,0952;0,9712;2,5714;7,64;8,37;4,58;12,36;11,28;8,33;52,56
33;24/08/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 1;Maccabi Jaffa;Hapoel Afula;31;21;22;20;1,4762;1,1389;1,1;0,9434;2,5762;7,61;8,37;4,6;12,35;11,23;8,29;52,45
34;24/08/2023;13:00;WORLD;CLUB FRIENDLY WOMEN;Eibar W;Granadilla Tenerife W;27;20;27;22;1,35;1,2757;1,2273;1,1254;2,5773;7,6;9,32;5,72;12,59;10,26;6,92;52,41
35;24/08/2023;13:00;SWEDEN;SVENSKA CUPEN - QUALIFICATION - FINAL;IFK Karlshamn;Varberg;30;23;28;22;1,3043;1,2661;1,2727;1,2498;2,577;7,6;9,67;6,15;12,61;9,91;6,46;52,4
36;24/08/2023;12:00;WORLD;FRIENDLY INTERNATIONAL;North Macedonia U17;Cyprus U17;22;16;30;24;1,375;1,2183;1,25;1,1273;2,625;7,24;9,05;5,66;12,45;9,96;6,85;51,21
37;24/08/2023;06:00;WORLD;FRIENDLY INTERNATIONAL;Slovakia U17;Lithuania U17;47;23;16;27;2,0435;2,4043;0,5926;0,6809;2,6361;7,17;4,25;1,26;8,67;14,64;14,96;50,95
38;24/08/2023;15:30;PARAGUAY;DIVISION INTERMEDIA - ROUND 23;Rubio Nu;Sp. Carapegua;37;24;25;22;1,5417;1,1539;1,1364;1,1792;2,6781;6,87;7,81;4,43;12,04;10,59;8,16;49,9
39;24/08/2023;13:30;ISRAEL;LEUMIT LEAGUE - ROUND 1;Kiryat Shmona;H. Akko;26;20;32;23;1,3;0,9;1,3913;1,242;2,6913;6,78;9,43;6,56;12,26;8,81;5,73;49,57
40;24/08/2023;20:20;COLOMBIA;PRIMERA A - CLAUSURA - ROUND 7;Atl. Nacional;Dep. Pasto;36;20;19;21;1,8;1,249;0,9048;0,9209;2,7048;6,69;6,05;2,74;10,89;12,04;10,84;49,25
41;24/08/2023;08:00;MALDIVES;DHIVEHI PREMIER LEAGUE - ROUND 9;TC Sports Club;United Victory;30;22;41;30;1,3636;1,2264;1,3667;1,2243;2,7303;6,52;8,91;6,09;12,15;8,89;6,06;48,62
42;24/08/2023;14:30;WORLD;CLUB FRIENDLY;Numancia;Atl. Madrid;25;21;38;24;1,1905;1,2954;1,5833;1,2555;2,7738;6,24;9,88;7,82;11,76;7,43;4,42;47,55
43;24/08/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 25;Always Ready;Independiente Petrolero;41;19;19;24;2,1579;1,0889;0,7917;0,865;2,9496;5,24;4,15;1,64;8,95;11,3;12,19;43,47
44;24/08/2023;19:00;SOUTH AMERICA;COPA SUDAMERICANA - PLAY OFFS - QUARTER-FINALS;America MG;Fortaleza;39;21;23;21;1,8571;1,39;1,0952;1,0648;2,9523;5,22;5,72;3,13;10,62;9,7;9,0;43,39
45;24/08/2023;06:00;ASIA;AFF CHAMPIONSHIP U23 - PLAY OFFS - SEMI-FINALS;Malaysia U23;Vietnam U23;33;22;22;15;1,5;1,118;1,4667;1,8571;2,9667;5,15;7,55;5,54;11,33;7,72;5,79;43,08
46;24/08/2023;15:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 3;Al Raed;Al Hilal;25;21;38;21;1,1905;1,2954;1,8095;1,7353;3,0;4,98;9,01;8,15;10,73;5,93;3,53;42,33
47;24/08/2023;15:00;PERU;LIGA 2 - ROUND 21;Alianza Huanuco;Deportivo Coopsol;45;22;21;22;2,0455;1,4917;0,9545;1,0215;3,0;4,98;4,75;2,27;9,72;10,18;10,41;42,31
48;24/08/2023;15:30;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Osasuna;Club Brugge KV;29;19;31;21;1,5263;1,4998;1,4762;1,4998;3,0025;4,97;7,33;5,41;11,19;7,58;5,79;42,27
49;24/08/2023;19:00;SOUTH AMERICA;COPA SUDAMERICANA - PLAY OFFS - QUARTER-FINALS;LDU Quito;Sao Paulo;41;22;23;20;1,8636;1,6038;1,15;0,9097;3,0136;4,91;5,65;3,25;10,53;9,15;8,53;42,02
50;24/08/2023;11:00;PARAGUAY;DIVISION INTERMEDIA - ROUND 23;Fernando de la Mora;Independiente FBC;41;23;26;21;1,7826;1,5024;1,2381;1,3768;3,0207;4,88;6,04;3,74;10,76;8,69;7,75;41,86
51;24/08/2023;15:10;KUWAIT;PREMIER LEAGUE - ROUND 1;Al Naser;Kazma SC;36;21;33;24;1,7143;1,3502;1,375;1,0333;3,0893;4,55;6,26;4,3;10,73;7,8;6,69;40,33
52;24/08/2023;15:00;WORLD;CLUB FRIENDLY;Dep. Fabril;Estradense;48;21;17;21;2,2857;1,7766;0,8095;0,8518;3,0952;4,53;3,66;1,48;8,38;10,35;11,83;40,23
53;24/08/2023;11:30;NORTH MACEDONIA;1. MFL - ROUND 4;Brera Strumica;Tikves;38;21;22;17;1,8095;2,2598;1,2941;1,3619;3,1036;4,49;5,81;3,76;10,51;8,12;7,35;40,04
54;24/08/2023;09:00;KYRGYZSTAN;PREMIER LIGA - ROUND 19;Alga;Neftchi Kochkor-Ata;37;22;29;20;1,6818;1,1032;1,45;1,4309;3,1318;4,36;6,33;4,59;10,64;7,34;6,17;39,43
55;24/08/2023;13:00;PALESTINE;WEST BANK LEAGUE - ROUND 2;Shabab Alsamu;Wadi Al-Nes;42;21;24;21;2,0;1,5736;1,1429;1,2066;3,1429;4,31;4,93;2,82;9,87;8,63;8,63;39,19
56;24/08/2023;10:00;AFRICA;CAF CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS;Gaadiidka;APR;34;20;29;20;1,7;1,6462;1,45;1,1169;3,15;4,29;6,21;4,51;10,56;7,29;6,19;39,05
57;24/08/2023;11:30;UZBEKISTAN;SUPER CUP - FINAL;Pakhtakor;Nasaf Qarshi;42;22;28;22;1,9091;1,5929;1,2727;1,0082;3,1818;4,15;5,28;3,36;10,09;7,93;7,57;38,38
58;24/08/2023;19:06;NORTH & CENTRAL AMERICA;CONCACAF CARIBBEAN CUP - ROUND 1;Moca;Port Of Spain;25;21;42;21;1,1905;1,0057;2,0;1,48;3,1905;4,11;8,23;8,23;9,8;4,9;2,92;38,19
59;24/08/2023;22:06;NORTH & CENTRAL AMERICA;CONCACAF CARIBBEAN CUP - ROUND 1;Cibao;Atletico Pantoja;31;21;35;20;1,4762;1,4998;1,75;1,337;3,2262;3,97;6,95;6,08;10,26;5,86;4,33;37,45
60;24/08/2023;15:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Midtjylland;Legia;40;22;24;17;1,8182;1,4345;1,4118;1,2395;3,23;3,96;5,58;3,94;10,15;7,19;6,54;37,36
61;24/08/2023;14:00;DENMARK;1ST DIVISION - ROUND 6;Hobro;Aalborg;24;20;47;23;1,2;1,1225;2,0435;1,8053;3,2435;3,9;7,98;8,15;9,57;4,68;2,81;37,09
62;24/08/2023;13:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Zalgiris;Ferencvaros;40;22;36;25;1,8182;1,4345;1,44;1,6268;3,2582;3,84;5,54;3,99;10,07;6,99;6,36;36,79
