Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
1;29/07/2023;08:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Kompozit;Ryazan;3;1;3,0;5;1;5,0;8,0
2;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Tranent;Bo'ness United;8;2;4,0;5;2;2,5;6,5
3;29/07/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 18;Johor DT;Selangor;67;17;3,9412;43;18;2,3889;6,3301
4;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 6 - ROUND 13;Nordstrand;Follo;38;12;3,1667;37;12;3,0833;6,25
5;29/07/2023;11:00;SCOTLAND;LEAGUE CUP;Ross County;Kelty Hearts;10;3;3,3333;8;3;2,6667;6,0
6;29/07/2023;10:00;RUSSIA;FNL 2 - DIVISION B - GROUP 3 - ROUND 2;Spartak Tambov;Sakhalinets;3;1;3,0;3;1;3,0;6,0
7;29/07/2023;09:00;GERMANY;REGIONALLIGA BAYERN - ROUND 2;Vilzing;SpVgg Bayreuth;5;1;5,0;1;1;1,0;6,0
8;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Gala Fairydean;Hearts B;2;2;1,0;10;2;5,0;6,0
9;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 5 - ROUND 13;Strindheim;Verdal;51;12;4,25;17;12;1,4167;5,6667
10;29/07/2023;15:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Cruz Azul W;U.N.A.M.- Pumas W;5;2;2,5;6;2;3,0;5,5
11;29/07/2023;07:00;PHILIPPINES;COPA PAULINO ALCANTARA;Philippine Army;Davao Aguilas;2;1;2,0;7;2;3,5;5,5
12;29/07/2023;10:00;MACAO;ELITE LEAGUE - ROUND 18;Benfica;Sporting Macau;54;15;3,6;23;15;1,5333;5,1333
13;29/07/2023;02:00;AUSTRALIA;NPL ACT - ROUND 16;Canberra Olympic;O'Connor Knights;35;15;2,3333;42;15;2,8;5,1333
14;29/07/2023;04:00;AUSTRALIA;NPL WESTERN AUSTRALIA - ROUND 19;Perth RedStar;Armadale;48;18;2,6667;42;18;2,3333;5,0
15;29/07/2023;09:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 3;Landsberg;Turkspor Augsburg;8;2;4,0;2;2;1,0;5,0
16;29/07/2023;13:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Ostrava;Slovacko;1;1;1,0;4;1;4,0;5,0
17;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Stirling University;East Kilbride;1;2;0,5;9;2;4,5;5,0
18;29/07/2023;15:30;SWITZERLAND;SUPER LEAGUE - ROUND 2;Servette;Zurich;3;1;3,0;2;1;2,0;5,0
19;29/07/2023;11:00;SCOTLAND;LOWLAND LEAGUE;Celtic B;Cowdenbeath;5;2;2,5;0;0;2,5;5,0
20;29/07/2023;23:30;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 2;Herediano;Zeledon;4;1;4,0;1;1;1,0;5,0
21;29/07/2023;17:00;CANADA;CSL;Dynamo Toronto;Toronto Falcons;21;6;3,5;9;6;1,5;5,0
22;29/07/2023;12:00;RUSSIA;FNL 2 - DIVISION A SILVER - FALL SEASON - ROUND 3;Salyut-Belgorod;Kursk;4;2;2,0;6;2;3,0;5,0
23;29/07/2023;13:00;SWITZERLAND;SUPER LEAGUE - ROUND 2;Lugano;St. Gallen;3;1;3,0;2;1;2,0;5,0
24;29/07/2023;10:00;SWEDEN;ALLSVENSKAN - ROUND 17;Hacken;Elfsborg;42;17;2,4706;39;16;2,4375;4,9081
25;29/07/2023;09:00;FINLAND;KANSALLINEN LIIGA WOMEN;KuPS W;TPS W;43;12;3,5833;14;12;1,1667;4,75
26;29/07/2023;10:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Mandalskameratene;Start 2;23;12;1,9167;33;12;2,75;4,6667
27;29/07/2023;09:00;NORWAY;DIVISION 3 - GROUP 4 - ROUND 13;Pors;Sprint-Jeloy;37;12;3,0833;19;12;1,5833;4,6666
28;29/07/2023;04:45;AUSTRALIA;NPL ACT - ROUND 16;Monaro Panthers;Gungahlin;26;15;1,7333;43;15;2,8667;4,6
29;29/07/2023;08:00;FINLAND;KANSALLINEN LIIGA WOMEN;PK-35 Vantaa W;Aland Utd W;15;12;1,25;40;12;3,3333;4,5833
30;29/07/2023;10:00;FINLAND;KAKKONEN GROUP B;EPS;Jazz Pori;21;12;1,75;36;13;2,7692;4,5192
31;29/07/2023;13:00;GERMANY;OBERLIGA BAYERN SÜD - ROUND 3;Pipinsried;Deisenhofen;6;2;3,0;3;2;1,5;4,5
32;29/07/2023;07:30;PHILIPPINES;COPA PAULINO ALCANTARA;FEU Tamaraws;Inter Manila;2;1;2,0;5;2;2,5;4,5
33;29/07/2023;11:00;SWEDEN;DIVISION 1 - SÖDRA - ROUND 15;Eskilsminne;Trollhattan;26;14;1,8571;35;14;2,5;4,3571
34;29/07/2023;06:30;RUSSIA;SUPREME DIVISION WOMEN - ROUND 15;CSKA Moscow W;Krasnodar W;47;14;3,3571;14;14;1,0;4,3571
35;29/07/2023;08:00;MACAO;ELITE LEAGUE - ROUND 18;Tak Chun Ka I;Cheng Fung;25;15;1,6667;40;15;2,6667;4,3334
