Nº;Date;Time;Country;League;Home;Away;golsHome;totalHome;AvgHome;golsAway;totalAway;AvgAway;avgSum
1;30/07/2023;12:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Bobruichanka W;Minsk FK W;119;18;6,6111;32;17;1,8824;8,4935
2;30/07/2023;06:30;WORLD;WORLD CUP WOMEN - ROUND 2;Germany W;Colombia W;6;1;6,0;2;1;2,0;8,0
3;30/07/2023;06:00;BHUTAN;PREMIER LEAGUE;Paro;Tensung;4;1;4,0;3;1;3,0;7,0
4;30/07/2023;13:45;CROATIA;HNL - ROUND 2;Rudes;Osijek;6;1;6,0;0;1;0,0;6,0
5;30/07/2023;16:05;CROATIA;HNL - ROUND 2;Hajduk Split;Rijeka;4;1;4,0;2;1;2,0;6,0
6;30/07/2023;10:00;CZECH REPUBLIC;FORTUNA:LIGA - ROUND 2;Mlada Boleslav;Liberec;3;1;3,0;3;1;3,0;6,0
7;30/07/2023;12:30;SLOVENIA;PRVA LIGA - ROUND 2;Maribor;Aluminij;4;1;4,0;2;1;2,0;6,0
8;30/07/2023;01:00;AUSTRALIA;NPL TASMANIA - ROUND 15;South Hobart;Kingborough Lions;39;14;2,7857;42;14;3,0;5,7857
9;30/07/2023;10:00;POLAND;DIVISION 1 - ROUND 2;Odra Opole;R. Rzeszow;5;1;5,0;0;1;0,0;5,0
10;30/07/2023;13:00;POLAND;DIVISION 1 - ROUND 2;S. Rzeszow;Tychy;3;1;3,0;2;1;2,0;5,0
11;30/07/2023;12:30;SLOVENIA;PRVA LIGA - ROUND 2;Domzale;Bravo;2;1;2,0;3;1;3,0;5,0
12;30/07/2023;14:00;RUSSIA;PREMIER LEAGUE - ROUND 2;Krasnodar;Sochi;3;1;3,0;2;1;2,0;5,0
13;30/07/2023;07:00;MACAO;ELITE LEAGUE - ROUND 18;Toi Seng;Monte Carlo;58;15;3,8667;16;15;1,0667;4,9334
14;30/07/2023;02:00;AUSTRALIA;NPL NSW - ROUND 26;Rockdale Ilinden;Marconi Stallions;52;25;2,08;52;25;2,08;4,16
15;30/07/2023;14:15;NORWAY;ELITESERIEN - ROUND 16;Bodo/Glimt;Tromso;43;16;2,6875;21;15;1,4;4,0875
16;30/07/2023;12:00;NORWAY;ELITESERIEN - ROUND 16;Brann;Viking;34;15;2,2667;28;16;1,75;4,0167
17;30/07/2023;15:00;POLAND;EKSTRAKLASA - ROUND 2;Pogon Szczecin;Widzew Lodz;3;1;3,0;1;1;1,0;4,0
18;30/07/2023;15:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 3;Puebla W;Monterrey W;8;2;4,0;0;2;0,0;4,0
19;30/07/2023;12:30;POLAND;EKSTRAKLASA - ROUND 2;Lech Poznan;Radomiak Radom;2;1;2,0;2;1;2,0;4,0
20;30/07/2023;13:00;DENMARK;SUPERLIGA - ROUND 2;Brondby;Odense;2;1;2,0;2;1;2,0;4,0
21;30/07/2023;09:00;INDONESIA;LIGA 1 - ROUND 5;Barito Putera;Madura United;7;4;1,75;9;4;2,25;4,0
22;30/07/2023;20:00;COSTA RICA;PRIMERA DIVISION - APERTURA - ROUND 2;Sporting San Jose;San Carlos;3;1;3,0;1;1;1,0;4,0
23;30/07/2023;09:00;RUSSIA;PREMIER LEAGUE - ROUND 2;Rubin Kazan;Orenburg;2;1;2,0;2;1;2,0;4,0
24;30/07/2023;07:30;PHILIPPINES;COPA PAULINO ALCANTARA;University Of The Philippines;Pilipinas Dragons;4;1;4,0;0;0;0;4,0
25;30/07/2023;07:40;POLAND;DIVISION 1 - ROUND 2;Polonia Warszawa;Wisla;2;1;2,0;2;1;2,0;4,0
26;30/07/2023;15:15;SLOVENIA;PRVA LIGA - ROUND 2;Celje;Mura;2;1;2,0;2;1;2,0;4,0
27;30/07/2023;14:00;LATVIA;OPTIBET VIRSLIGA - ROUND 24;Riga FC;BFC Daugavpils;59;23;2,5652;31;23;1,3478;3,913
28;30/07/2023;15:00;LITHUANIA;A LYGA - ROUND 24;Zalgiris;FK Panevezys;42;22;1,9091;44;23;1,913;3,8221
29;30/07/2023;09:00;BELARUS;VYSSHAYA LIGA WOMEN - ROUND 20;Dynamo Brest W;Vitebsk W;37;17;2,1765;27;17;1,5882;3,7647
30;30/07/2023;12:00;FINLAND;YKKONEN;Mikkeli;Gnistan;31;16;1,9375;29;16;1,8125;3,75
31;30/07/2023;05:00;INDONESIA;LIGA 1 - ROUND 5;Persis Solo;Arema FC;9;4;2,25;6;4;1,5;3,75
