Nº;Date;Time;Country;League;Home;Away;o15Home;totalHome;AvgHome;o15Away;totalAway;AvgAway;pHome;pAway;Sum
1;31/05/2023;16:00;EUROPE;EUROPA LEAGUE - PLAY OFFS - FINAL;Sevilla;AS Roma;13;15;2,6;9;15;2,1333;0,8667;0,6;1,4667
2;31/05/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Brazil U20;Tunisia U20;13;15;2,9333;9;15;2,5333;0,8667;0,6;1,4667
3;31/05/2023;14:30;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Colombia U20;Slovakia U20;11;15;2,4667;12;15;2,4667;0,7333;0,8;1,5333
4;31/05/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;Argentina U20;Nigeria U20;12;15;2,6667;11;15;2,4667;0,8;0,7333;1,5333
5;31/05/2023;18:00;WORLD;WORLD CUP U20 - PLAY OFFS - 1/8-FINALS;England U20;Italy U20;13;15;3,1333;14;15;3,2;0,8667;0,9333;1,8
6;31/05/2023;15:30;ANDORRA;PRIMERA DIVISIÓ - RELEGATION - FINAL;UE Engordany;Carroi;13;15;3,0667;13;15;3,0667;0,8667;0,8667;1,7334
7;31/05/2023;20:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Boca Juniors 2;Arsenal Sarandi 2;7;15;1,4;13;15;2,6667;0,4667;0,8667;1,3334
8;31/05/2023;20:00;ARGENTINA;RESERVE LEAGUE - FIRST STAGE - ROUND 19;Talleres Cordoba 2;Tigre 2;10;15;2,8;12;15;2,4667;0,6667;0,8;1,4667
9;31/05/2023;12:00;BENIN;LIGUE 1 - CHAMPIONSHIP GROUP;Buffles du Borgou;AS Cotonou;10;15;2,2;7;15;1,3333;0,6667;0,4667;1,1334
10;31/05/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 10;Palmaflor;Always Ready;11;15;3,1333;15;15;3,0;0,7333;1,0;1,7333
