Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
1;31/08/2023;08:00;POLAND;EKSTRALIGA WOMEN - ROUND 3;GKS Katowice W;Leczna W;42;21;77;23;2,0;1,543;3,3478;3,0304;5,3478;0,48;0,95;0,95;3,19;1,59;2,67;9,83;84,3
2;31/08/2023;10:55;OMAN;PROFESSIONAL LEAGUE - ROUND 3;Al Nasr;Al-Shabab;17;21;19;23;0,8095;1,0519;0,8261;1,2389;1,6356;19,49;15,77;6,38;13,03;16,09;6,65;77,41;22,59
3;31/08/2023;10:30;DR CONGO;LIGUE 1 - ROUND 4;Blessing;US Panda;25;24;11;16;1,0417;1,0598;0,6875;0,768;1,7292;17,74;18,48;9,62;12,71;12,2;4,19;74,94;25,01
4;31/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 3;Arsenal Sarandi 2;Barracas Central 2;25;21;12;21;1,1905;1,1389;0,5714;1,1369;1,7619;17,17;20,44;12,17;11,68;9,81;2,8;74,07;25,9
5;31/08/2023;11:00;ARGENTINA;RESERVE LEAGUE - SECOND STAGE - ROUND 3;San Lorenzo 2;Union de Santa Fe 2;26;21;12;21;1,2381;0,8677;0,5714;0,7284;1,8095;16,37;20,27;12,55;11,58;9,36;2,67;72,8;27,16
6;31/08/2023;12:40;KUWAIT;DIVISION 1 - ROUND 2;Burgan;Al Sahel;19;18;21;20;1,0556;0,7798;1,05;1,1169;2,1056;12,18;12,85;6,78;13,49;12,79;6,71;64,8;35,17
7;31/08/2023;21:30;BRAZIL;SERIE B - ROUND 26;Juventude;Chapecoense-SC;24;20;20;20;1,2;0,8718;1,0;1,1402;2,2;11,08;13,3;7,98;13,3;11,08;5,54;62,28;37,68
8;31/08/2023;11:30;ROMANIA;ROMANIAN CUP - QUALIFICATION - FINAL;Unirea Slobozia;FC Hermannstadt;23;19;25;24;1,2105;1,1507;1,0417;0,9345;2,2522;10,52;12,73;7,71;13,26;10,95;5,7;60,87;39,1
9;31/08/2023;11:00;UZBEKISTAN;UZBEKISTAN CUP - QUARTER-FINALS;Din. Samarkand;Olympic;20;21;30;23;0,9524;0,95;1,3043;1,1204;2,2567;10,47;9,97;4,75;13,0;13,65;8,9;60,74;39,17
10;31/08/2023;17:00;ECUADOR;SERIE B - ROUND 27;Ind. Juniors;Chacaritas;33;22;16;21;1,5;1,3056;0,7619;0,8677;2,2619;10,41;15,62;11,72;11,9;7,93;3,02;60,6;39,26
